State,MS/POP,MS/POP PER MIL
AK,4.09E-06,4.09023
AL,1.98E-07,0.197814
AR,9.88E-07,0.987506
AZ,4.08E-07,0.408372
CA,7.16E-07,0.715851
CO,1.20E-06,1.1998
CT,8.30E-07,0.830472
DC,1.52E-06,1.51836
FL,5.92E-07,0.592472
GA,2.76E-07,0.276331
HI,6.96E-07,0.695998
IA,3.13E-07,0.312596
ID,5.16E-07,0.516347
IL,3.96E-07,0.396402
IN,2.93E-07,0.293017
KS,3.41E-07,0.340522
KY,1.11E-06,1.10675
LA,6.50E-07,0.649771
MA,7.25E-07,0.724615
MD,1.62E-07,0.162165
MI,4.97E-07,0.497476
MN,3.50E-07,0.350107
MO,3.23E-07,0.323448
MS,1.02E-06,1.01722
NC,5.65E-07,0.564888
NE,5.08E-07,0.508426
NH,7.16E-07,0.715641
NJ,5.39E-07,0.539476
NV,9.48E-07,0.947583
NY,5.09E-07,0.508565
OH,2.55E-07,0.254538
OK,2.50E-07,0.249586
OR,9.40E-07,0.940445
PA,6.94E-07,0.694321
RI,9.12E-07,0.912139
SC,3.82E-07,0.382067
TN,2.85E-07,0.284989
TX,6.39E-07,0.638614
UT,2.96E-07,0.296207
VA,2.31E-07,0.231023
WA,1.03E-06,1.03118
WI,8.47E-07,0.846916
