ID,Date,State,NKilled,# Injured
2321693,5-Jun-22,Michigan,1,3
2322804,5-Jun-22,South Carolina,0,4
2321440,5-Jun-22,Arizona,2,2
2321772,5-Jun-22,Michigan,3,2
2321532,5-Jun-22,Tennessee,2,12
2321193,4-Jun-22,Michigan,0,4
2321593,4-Jun-22,South Carolina,1,7
2321500,4-Jun-22,Georgia,1,3
2320673,4-Jun-22,Texas,0,5
2321266,4-Jun-22,Pennsylvania,3,12
2320618,4-Jun-22,Arizona,1,8
2321698,4-Jun-22,New York,1,3
2320862,3-Jun-22,Nebraska,1,3
2320361,3-Jun-22,Virginia,1,5
2318310,1-Jun-22,Oklahoma,5,0
2318046,31-May-22,Texas,0,4
2317016,30-May-22,South Carolina,0,10
2316616,30-May-22,Michigan,1,6
2315903,30-May-22,Pennsylvania,2,2
2315150,29-May-22,Oklahoma,1,7
2315333,29-May-22,California,1,3
2315892,29-May-22,Illinois,1,4
2316364,29-May-22,Texas,0,4
2315605,29-May-22,Arizona,1,5
2315361,29-May-22,Nevada,0,7
2315074,29-May-22,Illinois,0,5
2314991,28-May-22,Tennessee,0,6
2315338,28-May-22,California,1,3
2315417,28-May-22,Florida,0,4
2315190,28-May-22,Colorado,1,3
2314951,28-May-22,Tennessee,0,4
2313988,27-May-22,Alabama,0,6
2313970,27-May-22,Michigan,4,1
2312678,25-May-22,Pennsylvania,0,4
2310278,24-May-22,Texas,22,17
2309711,23-May-22,South Carolina,0,5
2311123,23-May-22,Ohio,0,5
2308096,21-May-22,Indiana,2,3
2308395,21-May-22,Washington,0,4
2307631,20-May-22,Florida,1,3
2308017,20-May-22,California,1,8
2307813,20-May-22,Louisiana,1,3
2307044,19-May-22,Illinois,2,7
2306277,18-May-22,Pennsylvania,0,5
2305208,17-May-22,California,1,3
2302847,15-May-22,California,1,5
2303130,15-May-22,North Carolina,0,7
2304029,15-May-22,North Carolina,0,4
2302740,15-May-22,Texas,2,3
2303337,15-May-22,Texas,1,4
2301751,14-May-22,New York,10,3
2301494,13-May-22,Wisconsin,0,17
2300713,12-May-22,Arkansas,1,4
2299660,11-May-22,Illinois,0,4
2299126,11-May-22,Indiana,0,4
2299793,11-May-22,Missouri,1,3
2300830,11-May-22,New Jersey,1,4
2298872,10-May-22,Maryland,0,5
2298836,10-May-22,Illinois,1,4
2299407,10-May-22,Illinois,0,6
2298519,10-May-22,Pennsylvania,0,4
2298591,10-May-22,Maryland,1,3
2299176,10-May-22,Texas,1,3
2297823,9-May-22,Michigan,0,4
2298092,9-May-22,Alabama,0,5
2297261,8-May-22,Georgia,3,3
2296191,7-May-22,Kentucky,2,3
2296808,7-May-22,Texas,2,2
2296224,7-May-22,Florida,0,4
2296037,6-May-22,Louisiana,2,4
2296064,5-May-22,Washington,0,5
2293603,3-May-22,Louisiana,0,5
2294515,3-May-22,Kansas,0,4
2294477,3-May-22,Texas,0,5
2291712,1-May-22,Louisiana,0,12
2291578,1-May-22,Ohio,1,4
2292452,1-May-22,Florida,0,6
2292613,1-May-22,South Carolina,1,3
2291618,30-Apr-22,Georgia,1,4
2291470,30-Apr-22,Mississippi,1,5
2291185,29-Apr-22,Tennessee,2,2
2290903,29-Apr-22,Louisiana,0,6
2291534,29-Apr-22,Mississippi,0,4
2290026,28-Apr-22,Alabama,1,3
2288928,27-Apr-22,Illinois,0,4
2289308,27-Apr-22,Louisiana,2,3
2288842,27-Apr-22,Mississippi,4,0
2289610,27-Apr-22,Texas,0,5
2289382,27-Apr-22,Arizona,0,4
2287581,25-Apr-22,Alabama,1,3
2286363,24-Apr-22,South Carolina,1,3
2286061,24-Apr-22,Indiana,2,4
2285772,23-Apr-22,Illinois,2,2
2285612,23-Apr-22,North Carolina,0,4
2285860,23-Apr-22,Georgia,0,5
2286089,23-Apr-22,California,1,4
2285158,22-Apr-22,Virginia,1,5
2285242,22-Apr-22,Ohio,0,4
2284819,22-Apr-22,District of Columbia,1,4
2285267,21-Apr-22,Arkansas,4,0
2283535,20-Apr-22,Minnesota,5,0
2281171,17-Apr-22,Pennsylvania,0,4
2281541,17-Apr-22,Oregon,1,3
2280875,17-Apr-22,South Carolina,0,9
2281164,17-Apr-22,California,1,3
2281483,17-Apr-22,Florida,1,3
2280711,17-Apr-22,Pennsylvania,2,9
2282256,17-Apr-22,Louisiana,0,5
2280204,16-Apr-22,South Carolina,0,9
2280495,16-Apr-22,Maryland,1,3
2281244,16-Apr-22,Nevada,0,4
2281410,16-Apr-22,Texas,1,6
2280017,16-Apr-22,New York,1,4
2280504,15-Apr-22,California,2,2
2276339,12-Apr-22,New York,0,10
2277011,12-Apr-22,New York,1,3
2275242,10-Apr-22,Louisiana,0,4
2274790,10-Apr-22,Iowa,2,10
2274803,10-Apr-22,Illinois,2,4
2275283,10-Apr-22,California,2,5
2274783,10-Apr-22,Indiana,1,5
2274855,9-Apr-22,District of Columbia,0,4
2274296,9-Apr-22,Florida,0,4
2272394,6-Apr-22,Pennsylvania,1,4
2270747,4-Apr-22,Kentucky,0,4
2270578,4-Apr-22,Connecticut,1,3
2269429,3-Apr-22,New York,0,4
2269745,3-Apr-22,California,2,2
2269100,3-Apr-22,Texas,1,16
2269082,3-Apr-22,California,6,12
2268723,2-Apr-22,North Carolina,1,3
2268762,2-Apr-22,Louisiana,1,5
2269059,2-Apr-22,Colorado,0,4
2269034,2-Apr-22,Louisiana,1,3
2269259,1-Apr-22,South Carolina,0,4
2264094,26-Mar-22,California,2,3
2265029,26-Mar-22,Ohio,0,4
2263608,25-Mar-22,Colorado,2,2
2260129,22-Mar-22,California,1,3
2259262,21-Mar-22,Connecticut,0,4
2259413,21-Mar-22,Illinois,2,2
2258324,20-Mar-22,Wisconsin,0,4
2258224,20-Mar-22,Texas,1,3
2258156,20-Mar-22,Texas,0,4
2257316,19-Mar-22,Virginia,3,2
2258012,19-Mar-22,North Carolina,3,3
2257739,19-Mar-22,Arkansas,1,26
2257674,19-Mar-22,Virginia,1,4
2258182,19-Mar-22,Texas,1,9
2256453,18-Mar-22,Texas,1,3
2257778,18-Mar-22,Louisiana,0,5
2257132,17-Mar-22,Michigan,0,4
2256398,17-Mar-22,Illinois,0,4
2255816,17-Mar-22,Florida,2,2
2255832,16-Mar-22,New Jersey,1,3
2256080,16-Mar-22,New Jersey,1,3
2254579,15-Mar-22,Alabama,0,5
2253714,14-Mar-22,Pennsylvania,1,3
2252873,13-Mar-22,Illinois,0,7
2252500,13-Mar-22,New York,2,2
