group,period_end,value
18 - 29 years,8/31/20,12.2
30 - 39 years,8/31/20,11.7
40 - 49 years,8/31/20,10
50 - 59 years,8/31/20,8.4
60 - 69 years,8/31/20,5.4
70 - 79 years,8/31/20,4.1
80 years and above,8/31/20,3
18 - 29 years,9/14/20,13
30 - 39 years,9/14/20,12.4
40 - 49 years,9/14/20,10.5
50 - 59 years,9/14/20,8.1
60 - 69 years,9/14/20,5.9
70 - 79 years,9/14/20,3.7
80 years and above,9/14/20,3.5
18 - 29 years,9/28/20,12.1
30 - 39 years,9/28/20,12.8
40 - 49 years,9/28/20,10.4
50 - 59 years,9/28/20,7.9
60 - 69 years,9/28/20,6.2
70 - 79 years,9/28/20,3.8
80 years and above,9/28/20,3.6
18 - 29 years,10/12/20,12.5
30 - 39 years,10/12/20,12.4
40 - 49 years,10/12/20,10.8
50 - 59 years,10/12/20,8.3
60 - 69 years,10/12/20,5.5
70 - 79 years,10/12/20,4.3
80 years and above,10/12/20,2.9
18 - 29 years,10/26/20,14.5
30 - 39 years,10/26/20,14.5
40 - 49 years,10/26/20,10.8
50 - 59 years,10/26/20,9.6
60 - 69 years,10/26/20,5.9
70 - 79 years,10/26/20,3.5
18 - 29 years,11/9/20,14.8
30 - 39 years,11/9/20,14.4
40 - 49 years,11/9/20,10.1
50 - 59 years,11/9/20,9.2
60 - 69 years,11/9/20,6.3
70 - 79 years,11/9/20,3.2
80 years and above,11/9/20,2.9
18 - 29 years,11/23/20,15
30 - 39 years,11/23/20,13.4
40 - 49 years,11/23/20,11.6
50 - 59 years,11/23/20,8.7
60 - 69 years,11/23/20,6
70 - 79 years,11/23/20,4.1
80 years and above,11/23/20,3.8
18 - 29 years,12/7/20,13.1
30 - 39 years,12/7/20,14.2
40 - 49 years,12/7/20,12
50 - 59 years,12/7/20,9.9
60 - 69 years,12/7/20,6.2
70 - 79 years,12/7/20,4.5
18 - 29 years,12/21/20,12.7
30 - 39 years,12/21/20,15.3
40 - 49 years,12/21/20,11.4
50 - 59 years,12/21/20,9.9
60 - 69 years,12/21/20,5.8
70 - 79 years,12/21/20,4.3
80 years and above,12/21/20,9.2
18 - 29 years,1/18/21,13.9
30 - 39 years,1/18/21,13.2
40 - 49 years,1/18/21,11.9
50 - 59 years,1/18/21,8.1
60 - 69 years,1/18/21,6.1
70 - 79 years,1/18/21,4.6
80 years and above,1/18/21,2.9
18 - 29 years,2/1/21,14.5
30 - 39 years,2/1/21,13.6
40 - 49 years,2/1/21,11.3
50 - 59 years,2/1/21,8.7
60 - 69 years,2/1/21,6
70 - 79 years,2/1/21,4.2
80 years and above,2/1/21,2.5
18 - 29 years,2/15/21,16.1
30 - 39 years,2/15/21,15.5
40 - 49 years,2/15/21,11.4
50 - 59 years,2/15/21,8.4
60 - 69 years,2/15/21,6.3
70 - 79 years,2/15/21,3.7
80 years and above,2/15/21,2.8
18 - 29 years,3/1/21,15.4
30 - 39 years,3/1/21,15.2
40 - 49 years,3/1/21,11.8
50 - 59 years,3/1/21,9.5
60 - 69 years,3/1/21,5.8
70 - 79 years,3/1/21,4
80 years and above,3/1/21,1.4
18 - 29 years,3/15/21,17.4
30 - 39 years,3/15/21,15.1
40 - 49 years,3/15/21,11.1
50 - 59 years,3/15/21,9.4
60 - 69 years,3/15/21,5.5
70 - 79 years,3/15/21,3.7
18 - 29 years,3/29/21,14.2
30 - 39 years,3/29/21,14.9
40 - 49 years,3/29/21,12.8
50 - 59 years,3/29/21,8.8
60 - 69 years,3/29/21,5.6
70 - 79 years,3/29/21,4
80 years and above,3/29/21,2.7
18 - 29 years,4/26/21,17.5
30 - 39 years,4/26/21,13.7
40 - 49 years,4/26/21,11.6
50 - 59 years,4/26/21,7.8
60 - 69 years,4/26/21,5.5
70 - 79 years,4/26/21,4
18 - 29 years,5/10/21,16.3
30 - 39 years,5/10/21,15.1
40 - 49 years,5/10/21,11.1
50 - 59 years,5/10/21,8.8
60 - 69 years,5/10/21,6.3
70 - 79 years,5/10/21,4
18 - 29 years,5/24/21,16.8
30 - 39 years,5/24/21,13.4
40 - 49 years,5/24/21,11.5
50 - 59 years,5/24/21,8.6
60 - 69 years,5/24/21,5.4
70 - 79 years,5/24/21,5
18 - 29 years,6/7/21,17
30 - 39 years,6/7/21,13.7
40 - 49 years,6/7/21,10.9
