group,period_end,value
High school diploma or GED,8/31/20,6.6
Bachelor's degree or higher,8/31/20,11.1
High school diploma or GED,9/14/20,6.7
Bachelor's degree or higher,9/14/20,11.3
High school diploma or GED,9/28/20,5.8
Bachelor's degree or higher,9/28/20,11.2
High school diploma or GED,10/12/20,5.7
Bachelor's degree or higher,10/12/20,11.7
High school diploma or GED,10/26/20,6.4
Bachelor's degree or higher,10/26/20,12.2
High school diploma or GED,11/9/20,6.5
Bachelor's degree or higher,11/9/20,12
High school diploma or GED,11/23/20,6.5
Bachelor's degree or higher,11/23/20,12.8
High school diploma or GED,12/7/20,7
Bachelor's degree or higher,12/7/20,12.8
High school diploma or GED,12/21/20,7
Bachelor's degree or higher,12/21/20,12.6
High school diploma or GED,1/18/21,7.3
Bachelor's degree or higher,1/18/21,11.6
High school diploma or GED,2/1/21,6.9
Bachelor's degree or higher,2/1/21,12
High school diploma or GED,2/15/21,7.5
Bachelor's degree or higher,2/15/21,12.3
High school diploma or GED,3/1/21,7.6
Bachelor's degree or higher,3/1/21,12.8
High school diploma or GED,3/15/21,6.8
Bachelor's degree or higher,3/15/21,13.5
High school diploma or GED,3/29/21,6.5
Bachelor's degree or higher,3/29/21,13
High school diploma or GED,4/26/21,6.1
Bachelor's degree or higher,4/26/21,12.2
High school diploma or GED,5/10/21,6.7
Bachelor's degree or higher,5/10/21,12.7
High school diploma or GED,5/24/21,7
Bachelor's degree or higher,5/24/21,12
High school diploma or GED,6/7/21,6.4
Bachelor's degree or higher,6/7/21,12.5
High school diploma or GED,6/21/21,6.6
Bachelor's degree or higher,6/21/21,12.1
High school diploma or GED,7/5/21,7.5
Bachelor's degree or higher,7/5/21,13.1
High school diploma or GED,8/2/21,8.1
Bachelor's degree or higher,8/2/21,12.5
High school diploma or GED,8/16/21,7.1
Bachelor's degree or higher,8/16/21,12.3
High school diploma or GED,8/30/21,7.3
Bachelor's degree or higher,8/30/21,13.1
High school diploma or GED,9/13/21,7.6
Bachelor's degree or higher,9/13/21,12.7
High school diploma or GED,9/27/21,6.2
Bachelor's degree or higher,9/27/21,12.7
High school diploma or GED,10/11/21,8.2
Bachelor's degree or higher,10/11/21,12.9
High school diploma or GED,12/13/21,6.4
Bachelor's degree or higher,12/13/21,13.1
High school diploma or GED,1/10/22,7.4
Bachelor's degree or higher,1/10/22,13.3
High school diploma or GED,2/7/22,7.4
Bachelor's degree or higher,2/7/22,13
High school diploma or GED,3/14/22,7.8
Bachelor's degree or higher,3/14/22,14
High school diploma or GED,4/11/22,6.9
Bachelor's degree or higher,4/11/22,14
High school diploma or GED,5/9/22,6.9
Bachelor's degree or higher,5/9/22,14.6
