group,period_end,value
Male,8/31/20,6.7
Female,8/31/20,10.6
Male,9/14/20,7
Female,9/14/20,11
Male,9/28/20,6.9
Female,9/28/20,11
Male,10/12/20,7.4
Female,10/12/20,10.6
Male,10/26/20,8.2
Female,10/26/20,11.6
Male,11/9/20,7.6
Female,11/9/20,11.8
Male,11/23/20,8.2
Female,11/23/20,11.5
Male,12/7/20,7.5
Female,12/7/20,12.5
Male,12/21/20,7.8
Female,12/21/20,12.4
Male,1/18/21,7.5
Female,1/18/21,11.6
Male,2/1/21,7.4
Female,2/1/21,11.9
Male,2/15/21,8.1
Female,2/15/21,12.4
Male,3/1/21,8.6
Female,3/1/21,11.9
Male,3/15/21,8.4
Female,3/15/21,12.6
Male,3/29/21,7.9
Female,3/29/21,12.1
Male,4/26/21,7.5
Female,4/26/21,11.9
Male,5/10/21,7.8
Female,5/10/21,12.3
Male,5/24/21,7.4
Female,5/24/21,12.3
Male,6/7/21,7.5
Female,6/7/21,12.4
Male,6/21/21,7.4
Female,6/21/21,11.8
Male,7/5/21,8.3
Female,7/5/21,13
Male,8/2/21,8.5
Female,8/2/21,12.9
Male,8/16/21,7.5
Female,8/16/21,12.4
Male,8/30/21,7.9
Female,8/30/21,12.3
Male,9/13/21,8
Female,9/13/21,12.5
Male,9/27/21,8.2
Female,9/27/21,12
Male,10/11/21,7.9
Female,10/11/21,12.8
Male,12/13/21,7.8
Female,12/13/21,12.6
Male,1/10/22,8.3
Female,1/10/22,12.8
Male,2/7/22,7.7
Female,2/7/22,13.1
Male,3/14/22,8.5
Female,3/14/22,14
Male,4/11/22,8.3
Female,4/11/22,13.5
Male,5/9/22,8.8
Female,5/9/22,13.7
