group,period_end,value
Hispanic or Latino,8/31/20,7.3
"Non-Hispanic White, single race",8/31/20,9.4
"Non-Hispanic Black, single race",8/31/20,7.7
"Non-Hispanic Asian, single race",8/31/20,6.2
"Non-Hispanic, other races and multiple races",8/31/20,10.6
Hispanic or Latino,9/14/20,7.9
"Non-Hispanic White, single race",9/14/20,9.5
"Non-Hispanic Black, single race",9/14/20,9.5
"Non-Hispanic Asian, single race",9/14/20,5.3
"Non-Hispanic, other races and multiple races",9/14/20,11.6
Hispanic or Latino,9/28/20,8.7
"Non-Hispanic White, single race",9/28/20,9.5
"Non-Hispanic Black, single race",9/28/20,8.1
"Non-Hispanic Asian, single race",9/28/20,5.2
"Non-Hispanic, other races and multiple races",9/28/20,10.5
Hispanic or Latino,10/12/20,7.7
"Non-Hispanic White, single race",10/12/20,9.8
"Non-Hispanic Black, single race",10/12/20,7.8
"Non-Hispanic Asian, single race",10/12/20,5.1
"Non-Hispanic, other races and multiple races",10/12/20,11.2
Hispanic or Latino,10/26/20,11.5
"Non-Hispanic White, single race",10/26/20,9.8
"Non-Hispanic Black, single race",10/26/20,9.5
"Non-Hispanic Asian, single race",10/26/20,6.9
"Non-Hispanic, other races and multiple races",10/26/20,12.5
Hispanic or Latino,11/9/20,9.5
"Non-Hispanic White, single race",11/9/20,10
"Non-Hispanic Black, single race",11/9/20,9.7
"Non-Hispanic Asian, single race",11/9/20,6
"Non-Hispanic, other races and multiple races",11/9/20,12.6
Hispanic or Latino,11/23/20,9.6
"Non-Hispanic White, single race",11/23/20,10.1
"Non-Hispanic Black, single race",11/23/20,9.7
"Non-Hispanic Asian, single race",11/23/20,6.4
"Non-Hispanic, other races and multiple races",11/23/20,12.4
Hispanic or Latino,12/7/20,8.8
"Non-Hispanic White, single race",12/7/20,10.4
"Non-Hispanic Black, single race",12/7/20,10.5
"Non-Hispanic Asian, single race",12/7/20,7.5
"Non-Hispanic, other races and multiple races",12/7/20,13
Hispanic or Latino,12/21/20,9.9
"Non-Hispanic White, single race",12/21/20,10.4
"Non-Hispanic Black, single race",12/21/20,9.2
"Non-Hispanic Asian, single race",12/21/20,6.1
"Non-Hispanic, other races and multiple races",12/21/20,14.9
Hispanic or Latino,1/18/21,7.7
"Non-Hispanic White, single race",1/18/21,10.2
"Non-Hispanic Black, single race",1/18/21,9.5
"Non-Hispanic Asian, single race",1/18/21,6.1
"Non-Hispanic, other races and multiple races",1/18/21,13.3
Hispanic or Latino,2/1/21,8.7
"Non-Hispanic White, single race",2/1/21,10.4
"Non-Hispanic Black, single race",2/1/21,8.2
"Non-Hispanic Asian, single race",2/1/21,6.9
"Non-Hispanic, other races and multiple races",2/1/21,11
Hispanic or Latino,2/15/21,8.5
"Non-Hispanic White, single race",2/15/21,10.7
"Non-Hispanic Black, single race",2/15/21,10.8
"Non-Hispanic Asian, single race",2/15/21,6.6
"Non-Hispanic, other races and multiple races",2/15/21,14.1
Hispanic or Latino,3/1/21,8.4
"Non-Hispanic White, single race",3/1/21,10.8
"Non-Hispanic Black, single race",3/1/21,10.6
"Non-Hispanic Asian, single race",3/1/21,7
"Non-Hispanic, other races and multiple races",3/1/21,14.5
Hispanic or Latino,3/15/21,10.1
"Non-Hispanic White, single race",3/15/21,11.1
"Non-Hispanic Black, single race",3/15/21,9.6
"Non-Hispanic Asian, single race",3/15/21,6
"Non-Hispanic, other races and multiple races",3/15/21,11.8
Hispanic or Latino,3/29/21,9.3
"Non-Hispanic White, single race",3/29/21,10.5
"Non-Hispanic Black, single race",3/29/21,9.2
"Non-Hispanic Asian, single race",3/29/21,5.8
"Non-Hispanic, other races and multiple races",3/29/21,14.2
Hispanic or Latino,4/26/21,8.6
"Non-Hispanic White, single race",4/26/21,10.5
"Non-Hispanic Black, single race",4/26/21,8.3
"Non-Hispanic Asian, single race",4/26/21,5.6
"Non-Hispanic, other races and multiple races",4/26/21,13
Hispanic or Latino,5/10/21,7.8
"Non-Hispanic White, single race",5/10/21,10.8
"Non-Hispanic Black, single race",5/10/21,10.2
"Non-Hispanic Asian, single race",5/10/21,5.3
"Non-Hispanic, other races and multiple races",5/10/21,16.5
