group,period_end,value
Alabama,8/31/20,8.5
Alaska,8/31/20,7.5
Arizona,8/31/20,7.3
Arkansas,8/31/20,6.1
California,8/31/20,9.5
Colorado,8/31/20,10.1
Connecticut,8/31/20,12.3
Delaware,8/31/20,10
District of Columbia,8/31/20,19.1
Florida,8/31/20,7.8
Georgia,8/31/20,7.9
Hawaii,8/31/20,11.9
Idaho,8/31/20,8.3
Illinois,8/31/20,8.8
Indiana,8/31/20,6.8
Iowa,8/31/20,8.1
Kansas,8/31/20,7.7
Kentucky,8/31/20,5.8
Louisiana,8/31/20,9.5
Maine,8/31/20,12.4
Maryland,8/31/20,8.7
Massachusetts,8/31/20,12.7
Michigan,8/31/20,9
Minnesota,8/31/20,9.5
Mississippi,8/31/20,6.8
Missouri,8/31/20,7.9
Montana,8/31/20,9.2
Nebraska,8/31/20,6.8
Nevada,8/31/20,6.7
New Hampshire,8/31/20,7.1
New Jersey,8/31/20,9.3
New Mexico,8/31/20,10.1
New York,8/31/20,10.5
North Carolina,8/31/20,8.9
North Dakota,8/31/20,4.9
Ohio,8/31/20,9.6
Oklahoma,8/31/20,7.5
Oregon,8/31/20,13
Pennsylvania,8/31/20,9.3
Rhode Island,8/31/20,13.5
South Carolina,8/31/20,5.4
South Dakota,8/31/20,6.2
Tennessee,8/31/20,8.2
Texas,8/31/20,6.7
Utah,8/31/20,9.4
Vermont,8/31/20,11.4
Virginia,8/31/20,9.3
Washington,8/31/20,10.3
West Virginia,8/31/20,5.1
Wisconsin,8/31/20,7.2
Wyoming,8/31/20,5.3
Alabama,9/14/20,6.9
Alaska,9/14/20,8.2
Arizona,9/14/20,10.1
Arkansas,9/14/20,6.4
California,9/14/20,8.9
Colorado,9/14/20,9.5
Connecticut,9/14/20,12
Delaware,9/14/20,9.3
District of Columbia,9/14/20,17
Florida,9/14/20,7.7
Georgia,9/14/20,9.3
Hawaii,9/14/20,5.3
Idaho,9/14/20,8.8
Illinois,9/14/20,9.8
Indiana,9/14/20,6.7
Iowa,9/14/20,7.6
Kansas,9/14/20,6.8
Kentucky,9/14/20,10.1
Louisiana,9/14/20,7.7
Maine,9/14/20,10.1
Maryland,9/14/20,9.6
Massachusetts,9/14/20,14.5
Michigan,9/14/20,9.3
Minnesota,9/14/20,9.3
Mississippi,9/14/20,5.6
Missouri,9/14/20,8.1
Montana,9/14/20,10.5
Nebraska,9/14/20,6.7
Nevada,9/14/20,7.8
New Hampshire,9/14/20,9.6
New Jersey,9/14/20,8.8
New Mexico,9/14/20,8.5
New York,9/14/20,12
North Carolina,9/14/20,7.6
North Dakota,9/14/20,5.9
Ohio,9/14/20,7.7
Oklahoma,9/14/20,8.2
Oregon,9/14/20,10.4
Pennsylvania,9/14/20,8.6
Rhode Island,9/14/20,12.5
South Carolina,9/14/20,9
South Dakota,9/14/20,5.4
Tennessee,9/14/20,8.1
Texas,9/14/20,9.2
Utah,9/14/20,9
Vermont,9/14/20,12.3
Virginia,9/14/20,10.6
Washington,9/14/20,9.9
West Virginia,9/14/20,9.5
Wisconsin,9/14/20,8.6
Wyoming,9/14/20,8.7
Alabama,9/28/20,7.5
Alaska,9/28/20,8.6
Arizona,9/28/20,8
Arkansas,9/28/20,5.5
California,9/28/20,9.3
Colorado,9/28/20,12.7
Connecticut,9/28/20,10.4
Delaware,9/28/20,8.6
District of Columbia,9/28/20,15.7
Florida,9/28/20,8.1
Georgia,9/28/20,7.9
Hawaii,9/28/20,6.8
Idaho,9/28/20,7.7
Illinois,9/28/20,10
Indiana,9/28/20,8.1
Iowa,9/28/20,6.3
Kansas,9/28/20,9.9
Kentucky,9/28/20,9.6
Louisiana,9/28/20,9.1
Maine,9/28/20,10.4
Maryland,9/28/20,11.2
Massachusetts,9/28/20,13.6
Michigan,9/28/20,8.6
Minnesota,9/28/20,10.3
Mississippi,9/28/20,6.7
Missouri,9/28/20,7.9
Montana,9/28/20,7.9
Nebraska,9/28/20,7.4
Nevada,9/28/20,8.5
New Hampshire,9/28/20,9.9
New Jersey,9/28/20,7.9
New Mexico,9/28/20,10.8
New York,9/28/20,10.1
North Carolina,9/28/20,8.1
North Dakota,9/28/20,5.1
Ohio,9/28/20,9.5
Oklahoma,9/28/20,6.2
Oregon,9/28/20,10.5
Pennsylvania,9/28/20,10.4
Rhode Island,9/28/20,7.9
South Carolina,9/28/20,8
South Dakota,9/28/20,5.4
Tennessee,9/28/20,8.2
Texas,9/28/20,8.3
Utah,9/28/20,10.7
Vermont,9/28/20,13.1
Virginia,9/28/20,10
Washington,9/28/20,8.8
West Virginia,9/28/20,7.4
Wisconsin,9/28/20,7.7
Wyoming,9/28/20,7.4
Alabama,10/12/20,7.6
Alaska,10/12/20,8.9
Arizona,10/12/20,9.1
Arkansas,10/12/20,6.5
California,10/12/20,10.1
Colorado,10/12/20,10.4
Connecticut,10/12/20,11.3
Delaware,10/12/20,7.3
District of Columbia,10/12/20,14.8
Florida,10/12/20,6.8
Georgia,10/12/20,8.4
Hawaii,10/12/20,9
Idaho,10/12/20,8.7
Illinois,10/12/20,8.1
Indiana,10/12/20,7
Iowa,10/12/20,6.1
Kansas,10/12/20,8.8
Kentucky,10/12/20,8.1
Louisiana,10/12/20,9
Maine,10/12/20,9.4
Maryland,10/12/20,11.5
Massachusetts,10/12/20,13.1
Michigan,10/12/20,8
Minnesota,10/12/20,8.7
Mississippi,10/12/20,5.7
Missouri,10/12/20,8.8
Montana,10/12/20,7.7
Nebraska,10/12/20,7.2
Nevada,10/12/20,7.8
New Hampshire,10/12/20,9.9
New Jersey,10/12/20,9.2
New Mexico,10/12/20,10.9
New York,10/12/20,12.1
North Carolina,10/12/20,10.7
North Dakota,10/12/20,6.5
Ohio,10/12/20,9.5
Oklahoma,10/12/20,7.8
Oregon,10/12/20,11.4
Pennsylvania,10/12/20,9.5
Rhode Island,10/12/20,14.3
South Carolina,10/12/20,7.3
South Dakota,10/12/20,5.9
Tennessee,10/12/20,8.3
Texas,10/12/20,6.8
Utah,10/12/20,11.3
Vermont,10/12/20,12.7
Virginia,10/12/20,9.3
Washington,10/12/20,10.5
West Virginia,10/12/20,9.9
Wisconsin,10/12/20,7.7
Wyoming,10/12/20,4.6
Alabama,10/26/20,6.4
Alaska,10/26/20,9.5
Arizona,10/26/20,8.4
Arkansas,10/26/20,6.7
California,10/26/20,11.6
Colorado,10/26/20,12.1
Connecticut,10/26/20,10.9
Delaware,10/26/20,12
District of Columbia,10/26/20,18.5
Florida,10/26/20,8.9
Georgia,10/26/20,9.3
Hawaii,10/26/20,6.1
Idaho,10/26/20,8
Illinois,10/26/20,11.3
Indiana,10/26/20,7.7
Iowa,10/26/20,6.9
Kansas,10/26/20,10.3
Kentucky,10/26/20,8.5
Louisiana,10/26/20,8
Maine,10/26/20,10
Maryland,10/26/20,12.6
Massachusetts,10/26/20,15.9
Michigan,10/26/20,8.7
Minnesota,10/26/20,9.9
Mississippi,10/26/20,8.1
Missouri,10/26/20,9.2
Montana,10/26/20,9.3
Nebraska,10/26/20,9.1
Nevada,10/26/20,7.6
New Hampshire,10/26/20,10.7
