group,period_end,value
18 - 29 years,8/31/20,15.6
30 - 39 years,8/31/20,12.9
40 - 49 years,8/31/20,10
50 - 59 years,8/31/20,7.7
60 - 69 years,8/31/20,5.3
70 - 79 years,8/31/20,2.9
80 years and above,8/31/20,1.4
18 - 29 years,9/14/20,15.9
30 - 39 years,9/14/20,13.8
40 - 49 years,9/14/20,11.2
50 - 59 years,9/14/20,7.6
60 - 69 years,9/14/20,5.3
70 - 79 years,9/14/20,3.3
80 years and above,9/14/20,3.5
18 - 29 years,9/28/20,18.5
30 - 39 years,9/28/20,14.6
40 - 49 years,9/28/20,10.8
50 - 59 years,9/28/20,8.5
60 - 69 years,9/28/20,5.8
70 - 79 years,9/28/20,3.3
18 - 29 years,10/12/20,16.6
30 - 39 years,10/12/20,14
40 - 49 years,10/12/20,10.7
50 - 59 years,10/12/20,8.3
60 - 69 years,10/12/20,5.2
70 - 79 years,10/12/20,2.6
80 years and above,10/12/20,2.3
18 - 29 years,10/26/20,18.5
30 - 39 years,10/26/20,15.3
40 - 49 years,10/26/20,10.9
50 - 59 years,10/26/20,8.8
60 - 69 years,10/26/20,5.4
70 - 79 years,10/26/20,3
80 years and above,10/26/20,5.5
18 - 29 years,11/9/20,21.6
30 - 39 years,11/9/20,16.1
40 - 49 years,11/9/20,11
50 - 59 years,11/9/20,9.7
60 - 69 years,11/9/20,5.6
70 - 79 years,11/9/20,3.6
18 - 29 years,11/23/20,18.7
30 - 39 years,11/23/20,15.4
40 - 49 years,11/23/20,11.9
50 - 59 years,11/23/20,10.7
60 - 69 years,11/23/20,6.3
70 - 79 years,11/23/20,3.4
80 years and above,11/23/20,2.9
18 - 29 years,12/7/20,21.8
30 - 39 years,12/7/20,17.2
40 - 49 years,12/7/20,13.5
50 - 59 years,12/7/20,9.5
60 - 69 years,12/7/20,6
70 - 79 years,12/7/20,3.2
80 years and above,12/7/20,3.6
18 - 29 years,12/21/20,22.1
30 - 39 years,12/21/20,17.2
40 - 49 years,12/21/20,13.8
50 - 59 years,12/21/20,10.4
60 - 69 years,12/21/20,6
70 - 79 years,12/21/20,4.4
80 years and above,12/21/20,6.7
18 - 29 years,1/18/21,21
30 - 39 years,1/18/21,16.3
40 - 49 years,1/18/21,12.3
50 - 59 years,1/18/21,9.5
60 - 69 years,1/18/21,6
70 - 79 years,1/18/21,3.3
80 years and above,1/18/21,2.9
18 - 29 years,2/1/21,23.1
30 - 39 years,2/1/21,16.2
40 - 49 years,2/1/21,11.8
50 - 59 years,2/1/21,9.8
60 - 69 years,2/1/21,5.6
70 - 79 years,2/1/21,3
80 years and above,2/1/21,2.9
18 - 29 years,2/15/21,21.8
30 - 39 years,2/15/21,16.5
40 - 49 years,2/15/21,11.4
50 - 59 years,2/15/21,9.5
60 - 69 years,2/15/21,6.4
70 - 79 years,2/15/21,3.1
80 years and above,2/15/21,2.4
18 - 29 years,3/1/21,22.2
30 - 39 years,3/1/21,15.9
40 - 49 years,3/1/21,13.7
50 - 59 years,3/1/21,10
60 - 69 years,3/1/21,6.2
70 - 79 years,3/1/21,3.4
80 years and above,3/1/21,2.6
18 - 29 years,3/15/21,20.7
30 - 39 years,3/15/21,17.2
40 - 49 years,3/15/21,12.5
50 - 59 years,3/15/21,9.5
60 - 69 years,3/15/21,6.1
70 - 79 years,3/15/21,3.1
80 years and above,3/15/21,5.6
18 - 29 years,3/29/21,20.5
30 - 39 years,3/29/21,15.9
40 - 49 years,3/29/21,12.4
50 - 59 years,3/29/21,8.8
60 - 69 years,3/29/21,6.1
70 - 79 years,3/29/21,3.2
80 years and above,3/29/21,2.7
18 - 29 years,4/26/21,19.3
30 - 39 years,4/26/21,13.8
40 - 49 years,4/26/21,10.5
50 - 59 years,4/26/21,8.3
60 - 69 years,4/26/21,5.3
70 - 79 years,4/26/21,3.3
80 years and above,4/26/21,
18 - 29 years,5/10/21,18.3
30 - 39 years,5/10/21,14.3
40 - 49 years,5/10/21,10.9
50 - 59 years,5/10/21,8.5
60 - 69 years,5/10/21,4.8
70 - 79 years,5/10/21,2.7
18 - 29 years,5/24/21,20.8
30 - 39 years,5/24/21,13.6
40 - 49 years,5/24/21,10.8
50 - 59 years,5/24/21,8.2
60 - 69 years,5/24/21,5
70 - 79 years,5/24/21,3
80 years and above,5/24/21,5.2
18 - 29 years,6/7/21,17.1
30 - 39 years,6/7/21,15.2
40 - 49 years,6/7/21,10.9
50 - 59 years,6/7/21,7.5
60 - 69 years,6/7/21,5.4
70 - 79 years,6/7/21,3.2
80 years and above,6/7/21,3.1
18 - 29 years,6/21/21,19.6
30 - 39 years,6/21/21,14
40 - 49 years,6/21/21,10.3
50 - 59 years,6/21/21,7.9
60 - 69 years,6/21/21,5.8
70 - 79 years,6/21/21,2.5
80 years and above,6/21/21,2.4
18 - 29 years,7/5/21,19.9
30 - 39 years,7/5/21,15.2
40 - 49 years,7/5/21,11.7
50 - 59 years,7/5/21,8.4
60 - 69 years,7/5/21,4.9
70 - 79 years,7/5/21,3.1
80 years and above,7/5/21,1.8
18 - 29 years,8/2/21,21
30 - 39 years,8/2/21,15.4
40 - 49 years,8/2/21,12.7
50 - 59 years,8/2/21,9.3
60 - 69 years,8/2/21,6.5
70 - 79 years,8/2/21,3.3
80 years and above,8/2/21,4.4
18 - 29 years,8/16/21,18.4
30 - 39 years,8/16/21,15
40 - 49 years,8/16/21,11.9
50 - 59 years,8/16/21,9.5
60 - 69 years,8/16/21,5
70 - 79 years,8/16/21,3.6
80 years and above,8/16/21,2.1
18 - 29 years,8/30/21,20.5
30 - 39 years,8/30/21,15.3
40 - 49 years,8/30/21,11.7
50 - 59 years,8/30/21,9.4
60 - 69 years,8/30/21,6.7
70 - 79 years,8/30/21,3.5
18 - 29 years,9/13/21,20.8
30 - 39 years,9/13/21,16.1
40 - 49 years,9/13/21,13.2
50 - 59 years,9/13/21,9.3
60 - 69 years,9/13/21,5.7
70 - 79 years,9/13/21,3
80 years and above,9/13/21,3.3
18 - 29 years,9/27/21,20.8
30 - 39 years,9/27/21,16.2
40 - 49 years,9/27/21,12.5
50 - 59 years,9/27/21,10.3
60 - 69 years,9/27/21,6
70 - 79 years,9/27/21,3.6
80 years and above,9/27/21,3.8
18 - 29 years,10/11/21,19.6
30 - 39 years,10/11/21,16.3
40 - 49 years,10/11/21,11.8
50 - 59 years,10/11/21,9.4
60 - 69 years,10/11/21,6.1
70 - 79 years,10/11/21,3.5
80 years and above,10/11/21,2.3
18 - 29 years,12/13/21,19
30 - 39 years,12/13/21,16
40 - 49 years,12/13/21,11.9
50 - 59 years,12/13/21,10.1
60 - 69 years,12/13/21,5.4
70 - 79 years,12/13/21,3.8
18 - 29 years,1/10/22,19.1
30 - 39 years,1/10/22,17.2
40 - 49 years,1/10/22,12.5
50 - 59 years,1/10/22,8.8
60 - 69 years,1/10/22,6.3
70 - 79 years,1/10/22,3.3
80 years and above,1/10/22,2.8
18 - 29 years,2/7/22,19.5
30 - 39 years,2/7/22,16.4
40 - 49 years,2/7/22,11.5
50 - 59 years,2/7/22,10.1
60 - 69 years,2/7/22,6
70 - 79 years,2/7/22,3
80 years and above,2/7/22,3.3
18 - 29 years,3/14/22,20.9
30 - 39 years,3/14/22,16
40 - 49 years,3/14/22,12.2
50 - 59 years,3/14/22,8.7
60 - 69 years,3/14/22,6.8
70 - 79 years,3/14/22,3.9
80 years and above,3/14/22,5.8
18 - 29 years,4/11/22,22
30 - 39 years,4/11/22,16.1
40 - 49 years,4/11/22,12.1
50 - 59 years,4/11/22,10.3
60 - 69 years,4/11/22,5.9
70 - 79 years,4/11/22,3.3
18 - 29 years,5/9/22,19.8
30 - 39 years,5/9/22,17.1
40 - 49 years,5/9/22,13.9
