group,period_end,value
High school diploma or GED,8/31/20,7
Bachelor's degree or higher,8/31/20,9.7
High school diploma or GED,9/14/20,7.6
Bachelor's degree or higher,9/14/20,9.4
High school diploma or GED,9/28/20,8
Bachelor's degree or higher,9/28/20,10.5
High school diploma or GED,10/12/20,7.4
Bachelor's degree or higher,10/12/20,10.2
High school diploma or GED,10/26/20,8.4
Bachelor's degree or higher,10/26/20,10.5
High school diploma or GED,11/9/20,9.3
Bachelor's degree or higher,11/9/20,10.8
High school diploma or GED,11/23/20,8.6
Bachelor's degree or higher,11/23/20,11.1
High school diploma or GED,12/7/20,9.7
Bachelor's degree or higher,12/7/20,11.2
High school diploma or GED,12/21/20,10.5
Bachelor's degree or higher,12/21/20,11.7
High school diploma or GED,1/18/21,9.2
Bachelor's degree or higher,1/18/21,11
High school diploma or GED,2/1/21,8.7
Bachelor's degree or higher,2/1/21,11.4
High school diploma or GED,2/15/21,8.7
Bachelor's degree or higher,2/15/21,11.6
High school diploma or GED,3/1/21,10.7
Bachelor's degree or higher,3/1/21,11.2
High school diploma or GED,3/15/21,9.2
Bachelor's degree or higher,3/15/21,11.8
High school diploma or GED,3/29/21,8.2
Bachelor's degree or higher,3/29/21,10.4
High school diploma or GED,4/26/21,8.2
Bachelor's degree or higher,4/26/21,9.3
High school diploma or GED,5/10/21,7.8
Bachelor's degree or higher,5/10/21,9.3
High school diploma or GED,5/24/21,8
Bachelor's degree or higher,5/24/21,9.6
High school diploma or GED,6/7/21,7.8
Bachelor's degree or higher,6/7/21,9.7
High school diploma or GED,6/21/21,8.3
Bachelor's degree or higher,6/21/21,9.4
High school diploma or GED,7/5/21,8.1
Bachelor's degree or higher,7/5/21,9.3
High school diploma or GED,8/2/21,10.4
Bachelor's degree or higher,8/2/21,10.1
High school diploma or GED,8/16/21,9
Bachelor's degree or higher,8/16/21,10.3
High school diploma or GED,8/30/21,9.4
Bachelor's degree or higher,8/30/21,10.8
High school diploma or GED,9/13/21,9.2
Bachelor's degree or higher,9/13/21,11.6
High school diploma or GED,9/27/21,9.4
Bachelor's degree or higher,9/27/21,11.4
High school diploma or GED,10/11/21,8.4
Bachelor's degree or higher,10/11/21,10.8
High school diploma or GED,12/13/21,9
Bachelor's degree or higher,12/13/21,11
High school diploma or GED,1/10/22,8.6
Bachelor's degree or higher,1/10/22,11.3
High school diploma or GED,2/7/22,8.7
Bachelor's degree or higher,2/7/22,11
High school diploma or GED,3/14/22,8.5
Bachelor's degree or higher,3/14/22,11.2
High school diploma or GED,4/11/22,9.6
Bachelor's degree or higher,4/11/22,11.1
High school diploma or GED,5/9/22,9.1
Bachelor's degree or higher,5/9/22,10.4
