group,period_end,value
Male,8/31/20,6.8
Female,8/31/20,11.4
Male,9/14/20,6.9
Female,9/14/20,12.3
Male,9/28/20,7.7
Female,9/28/20,12.9
Male,10/12/20,7.1
Female,10/12/20,12.1
Male,10/26/20,8.3
Female,10/26/20,12.7
Male,11/9/20,9.1
Female,11/9/20,13.2
Male,11/23/20,8.1
Female,11/23/20,13.9
Male,12/7/20,9.5
Female,12/7/20,14.3
Male,12/21/20,9.5
Female,12/21/20,15.1
Male,1/18/21,9
Female,1/18/21,13.5
Male,2/1/21,9.1
Female,2/1/21,14.1
Male,2/15/21,9
Female,2/15/21,13.8
Male,3/1/21,9.4
Female,3/1/21,14.1
Male,3/15/21,9.1
Female,3/15/21,14.2
Male,3/29/21,8.5
Female,3/29/21,13.5
Male,4/26/21,6.9
Female,4/26/21,12.6
Male,5/10/21,7.5
Female,5/10/21,11.8
Male,5/24/21,7.6
Female,5/24/21,12.4
Male,6/7/21,7.2
Female,6/7/21,12.2
Male,6/21/21,7.2
Female,6/21/21,12.3
Male,7/5/21,7.9
Female,7/5/21,12.5
Male,8/2/21,9.5
Female,8/2/21,13.2
Male,8/16/21,7.8
Female,8/16/21,13.2
Male,8/30/21,8.4
Female,8/30/21,13.8
Male,9/13/21,8.6
Female,9/13/21,13.9
Male,9/27/21,8.9
Female,9/27/21,14
Male,10/11/21,7.9
Female,10/11/21,13.9
Male,12/13/21,8.1
Female,12/13/21,14
Male,1/10/22,8.6
Female,1/10/22,13.8
Male,2/7/22,8.7
Female,2/7/22,13.4
Male,3/14/22,8.9
Female,3/14/22,13.9
Male,4/11/22,8.7
Female,4/11/22,14
Male,5/9/22,8.5
Female,5/9/22,14.4
