group,period_end,value
Hispanic or Latino,8/31/20,9.6
"Non-Hispanic White, single race",8/31/20,9.1
"Non-Hispanic Black, single race",8/31/20,9.3
"Non-Hispanic Asian, single race",8/31/20,4.8
"Non-Hispanic, other races and multiple races",8/31/20,14.2
Hispanic or Latino,9/14/20,9.9
"Non-Hispanic White, single race",9/14/20,9.5
"Non-Hispanic Black, single race",9/14/20,11.2
"Non-Hispanic Asian, single race",9/14/20,4.4
"Non-Hispanic, other races and multiple races",9/14/20,15.7
Hispanic or Latino,9/28/20,12.5
"Non-Hispanic White, single race",9/28/20,10.1
"Non-Hispanic Black, single race",9/28/20,9.9
"Non-Hispanic Asian, single race",9/28/20,6
"Non-Hispanic, other races and multiple races",9/28/20,15.6
Hispanic or Latino,10/12/20,9.5
"Non-Hispanic White, single race",10/12/20,9.7
"Non-Hispanic Black, single race",10/12/20,10.9
"Non-Hispanic Asian, single race",10/12/20,5.2
"Non-Hispanic, other races and multiple races",10/12/20,14.2
Hispanic or Latino,10/26/20,10.8
"Non-Hispanic White, single race",10/26/20,10.3
"Non-Hispanic Black, single race",10/26/20,11.2
"Non-Hispanic Asian, single race",10/26/20,7
"Non-Hispanic, other races and multiple races",10/26/20,16.4
Hispanic or Latino,11/9/20,14.5
"Non-Hispanic White, single race",11/9/20,10.2
"Non-Hispanic Black, single race",11/9/20,12.1
"Non-Hispanic Asian, single race",11/9/20,9.6
"Non-Hispanic, other races and multiple races",11/9/20,14.7
Hispanic or Latino,11/23/20,12.9
"Non-Hispanic White, single race",11/23/20,10.5
"Non-Hispanic Black, single race",11/23/20,12.4
"Non-Hispanic Asian, single race",11/23/20,5.8
"Non-Hispanic, other races and multiple races",11/23/20,17.9
Hispanic or Latino,12/7/20,14
"Non-Hispanic White, single race",12/7/20,11.5
"Non-Hispanic Black, single race",12/7/20,12.7
"Non-Hispanic Asian, single race",12/7/20,7.5
"Non-Hispanic, other races and multiple races",12/7/20,16.5
Hispanic or Latino,12/21/20,13.7
"Non-Hispanic White, single race",12/21/20,12.2
"Non-Hispanic Black, single race",12/21/20,11.9
"Non-Hispanic Asian, single race",12/21/20,7.8
"Non-Hispanic, other races and multiple races",12/21/20,17.6
Hispanic or Latino,1/18/21,11.1
"Non-Hispanic White, single race",1/18/21,11.4
"Non-Hispanic Black, single race",1/18/21,12.1
"Non-Hispanic Asian, single race",1/18/21,7.9
"Non-Hispanic, other races and multiple races",1/18/21,15.5
Hispanic or Latino,2/1/21,12.8
"Non-Hispanic White, single race",2/1/21,11.7
"Non-Hispanic Black, single race",2/1/21,12.2
"Non-Hispanic Asian, single race",2/1/21,5.8
"Non-Hispanic, other races and multiple races",2/1/21,13.8
Hispanic or Latino,2/15/21,12.1
"Non-Hispanic White, single race",2/15/21,11.1
"Non-Hispanic Black, single race",2/15/21,11
"Non-Hispanic Asian, single race",2/15/21,10.8
"Non-Hispanic, other races and multiple races",2/15/21,17
Hispanic or Latino,3/1/21,13.2
"Non-Hispanic White, single race",3/1/21,11.4
"Non-Hispanic Black, single race",3/1/21,13
"Non-Hispanic Asian, single race",3/1/21,7.1
"Non-Hispanic, other races and multiple races",3/1/21,18.2
Hispanic or Latino,3/15/21,12
"Non-Hispanic White, single race",3/15/21,11.7
"Non-Hispanic Black, single race",3/15/21,11.4
"Non-Hispanic Asian, single race",3/15/21,7.6
"Non-Hispanic, other races and multiple races",3/15/21,17.7
Hispanic or Latino,3/29/21,12.1
"Non-Hispanic White, single race",3/29/21,10.6
"Non-Hispanic Black, single race",3/29/21,11.7
"Non-Hispanic Asian, single race",3/29/21,8.1
"Non-Hispanic, other races and multiple races",3/29/21,18.3
Hispanic or Latino,4/26/21,9.2
"Non-Hispanic White, single race",4/26/21,9.9
"Non-Hispanic Black, single race",4/26/21,10.1
"Non-Hispanic Asian, single race",4/26/21,6.3
"Non-Hispanic, other races and multiple races",4/26/21,16.8
Hispanic or Latino,5/10/21,9.3
"Non-Hispanic White, single race",5/10/21,9.8
"Non-Hispanic Black, single race",5/10/21,10.9
"Non-Hispanic Asian, single race",5/10/21,5.7
"Non-Hispanic, other races and multiple races",5/10/21,14.4
Hispanic or Latino,5/24/21,12.1
"Non-Hispanic White, single race",5/24/21,9.7
"Non-Hispanic Black, single race",5/24/21,9.5
"Non-Hispanic Asian, single race",5/24/21,7
"Non-Hispanic, other races and multiple races",5/24/21,15.5
Hispanic or Latino,6/7/21,11.3
"Non-Hispanic White, single race",6/7/21,9.3
"Non-Hispanic Black, single race",6/7/21,10.2
"Non-Hispanic Asian, single race",6/7/21,5.9
"Non-Hispanic, other races and multiple races",6/7/21,17.2
Hispanic or Latino,6/21/21,11.9
"Non-Hispanic White, single race",6/21/21,9.2
"Non-Hispanic Black, single race",6/21/21,10.8
"Non-Hispanic Asian, single race",6/21/21,4.8
"Non-Hispanic, other races and multiple races",6/21/21,16.7
Hispanic or Latino,7/5/21,12.5
"Non-Hispanic White, single race",7/5/21,9.7
"Non-Hispanic Black, single race",7/5/21,10.3
"Non-Hispanic Asian, single race",7/5/21,6
"Non-Hispanic, other races and multiple races",7/5/21,17.7
Hispanic or Latino,8/2/21,13.6
"Non-Hispanic White, single race",8/2/21,10.6
"Non-Hispanic Black, single race",8/2/21,13.4
"Non-Hispanic Asian, single race",8/2/21,7.2
"Non-Hispanic, other races and multiple races",8/2/21,16.1
Hispanic or Latino,8/16/21,11.8
"Non-Hispanic White, single race",8/16/21,10.4
"Non-Hispanic Black, single race",8/16/21,10.4
"Non-Hispanic Asian, single race",8/16/21,7
"Non-Hispanic, other races and multiple races",8/16/21,14.6
Hispanic or Latino,8/30/21,11.1
"Non-Hispanic White, single race",8/30/21,11
"Non-Hispanic Black, single race",8/30/21,13.4
"Non-Hispanic Asian, single race",8/30/21,5.7
"Non-Hispanic, other races and multiple races",8/30/21,16.4
Hispanic or Latino,9/13/21,12.6
"Non-Hispanic White, single race",9/13/21,11
"Non-Hispanic Black, single race",9/13/21,11.8
"Non-Hispanic Asian, single race",9/13/21,7.1
"Non-Hispanic, other races and multiple races",9/13/21,17.7
Hispanic or Latino,9/27/21,13.7
"Non-Hispanic White, single race",9/27/21,10.6
"Non-Hispanic Black, single race",9/27/21,13.7
"Non-Hispanic Asian, single race",9/27/21,8.7
"Non-Hispanic, other races and multiple races",9/27/21,16.7
Hispanic or Latino,10/11/21,11.2
"Non-Hispanic White, single race",10/11/21,11
