group,period_end,value
Alabama,8/31/20,8.4
Alaska,8/31/20,8.5
Arizona,8/31/20,9.7
Arkansas,8/31/20,7.7
California,8/31/20,9.2
Colorado,8/31/20,10.8
Connecticut,8/31/20,8.1
Delaware,8/31/20,7.7
District of Columbia,8/31/20,11.3
Florida,8/31/20,11
Georgia,8/31/20,10.2
Hawaii,8/31/20,6.6
Idaho,8/31/20,9.2
Illinois,8/31/20,8.8
Indiana,8/31/20,9.6
Iowa,8/31/20,7.2
Kansas,8/31/20,9.2
Kentucky,8/31/20,8.9
Louisiana,8/31/20,9.3
Maine,8/31/20,11.8
Maryland,8/31/20,10.1
Massachusetts,8/31/20,9.1
Michigan,8/31/20,10.2
Minnesota,8/31/20,8.1
Mississippi,8/31/20,8.4
Missouri,8/31/20,11.2
Montana,8/31/20,9.3
Nebraska,8/31/20,7.7
Nevada,8/31/20,9.9
New Hampshire,8/31/20,7.3
New Jersey,8/31/20,7.6
New Mexico,8/31/20,11.1
New York,8/31/20,9.4
North Carolina,8/31/20,9.5
North Dakota,8/31/20,5.7
Ohio,8/31/20,9.3
Oklahoma,8/31/20,9
Oregon,8/31/20,12.9
Pennsylvania,8/31/20,7.8
Rhode Island,8/31/20,7
South Carolina,8/31/20,9.3
South Dakota,8/31/20,6.3
Tennessee,8/31/20,8.9
Texas,8/31/20,7.4
Utah,8/31/20,11.5
Vermont,8/31/20,10.5
Virginia,8/31/20,7.6
Washington,8/31/20,11.2
West Virginia,8/31/20,6.6
Wisconsin,8/31/20,7.3
Wyoming,8/31/20,7.5
Alabama,9/14/20,9.9
Alaska,9/14/20,9.6
Arizona,9/14/20,12.3
Arkansas,9/14/20,12.1
California,9/14/20,9.2
Colorado,9/14/20,12.9
Connecticut,9/14/20,8.3
Delaware,9/14/20,9.9
District of Columbia,9/14/20,12.6
Florida,9/14/20,8.6
Georgia,9/14/20,12.3
Hawaii,9/14/20,9.2
Idaho,9/14/20,10
Illinois,9/14/20,10.7
Indiana,9/14/20,10.5
Iowa,9/14/20,9.4
Kansas,9/14/20,9.2
Kentucky,9/14/20,9.9
Louisiana,9/14/20,11
Maine,9/14/20,10.7
Maryland,9/14/20,9.3
Massachusetts,9/14/20,8.6
Michigan,9/14/20,9
Minnesota,9/14/20,8.1
Mississippi,9/14/20,10.4
Missouri,9/14/20,10.7
Montana,9/14/20,9.4
Nebraska,9/14/20,8.6
Nevada,9/14/20,9.7
New Hampshire,9/14/20,8.8
New Jersey,9/14/20,6.9
New Mexico,9/14/20,6.5
New York,9/14/20,9.5
North Carolina,9/14/20,11.5
North Dakota,9/14/20,7.9
Ohio,9/14/20,8.2
Oklahoma,9/14/20,9
Oregon,9/14/20,13.1
Pennsylvania,9/14/20,8.1
Rhode Island,9/14/20,8.9
South Carolina,9/14/20,8.1
South Dakota,9/14/20,6.5
Tennessee,9/14/20,9.8
Texas,9/14/20,10.9
Utah,9/14/20,11.3
Vermont,9/14/20,9.6
Virginia,9/14/20,8.5
Washington,9/14/20,11
West Virginia,9/14/20,7.5
Wisconsin,9/14/20,6.9
Wyoming,9/14/20,8.9
Alabama,9/28/20,14.5
Alaska,9/28/20,9.8
Arizona,9/28/20,9.4
Arkansas,9/28/20,9.7
California,9/28/20,13.1
Colorado,9/28/20,13.3
Connecticut,9/28/20,10.2
Delaware,9/28/20,9.3
District of Columbia,9/28/20,12.7
Florida,9/28/20,9.9
Georgia,9/28/20,10.6
Hawaii,9/28/20,6.6
Idaho,9/28/20,10.5
Illinois,9/28/20,9.2
Indiana,9/28/20,9.4
Iowa,9/28/20,8.8
Kansas,9/28/20,9.9
Kentucky,9/28/20,9.7
Louisiana,9/28/20,11.6
Maine,9/28/20,7.8
Maryland,9/28/20,9.2
Massachusetts,9/28/20,9.9
Michigan,9/28/20,8.4
Minnesota,9/28/20,11.2
Mississippi,9/28/20,9
Missouri,9/28/20,9.3
Montana,9/28/20,10.8
Nebraska,9/28/20,8.1
Nevada,9/28/20,11.1
New Hampshire,9/28/20,7.3
New Jersey,9/28/20,9.1
New Mexico,9/28/20,14
New York,9/28/20,11.3
North Carolina,9/28/20,9
North Dakota,9/28/20,6
Ohio,9/28/20,8.6
Oklahoma,9/28/20,7.5
Oregon,9/28/20,14
Pennsylvania,9/28/20,8.5
Rhode Island,9/28/20,7
South Carolina,9/28/20,9.8
South Dakota,9/28/20,6
Tennessee,9/28/20,10.4
Texas,9/28/20,10.5
Utah,9/28/20,15.1
Vermont,9/28/20,9.7
Virginia,9/28/20,9.9
Washington,9/28/20,11.8
West Virginia,9/28/20,13
Wisconsin,9/28/20,6.8
Wyoming,9/28/20,8
Alabama,10/12/20,9.8
Alaska,10/12/20,10.3
Arizona,10/12/20,11.4
Arkansas,10/12/20,9.5
California,10/12/20,10.5
Colorado,10/12/20,11.7
Connecticut,10/12/20,8.6
Delaware,10/12/20,9.2
District of Columbia,10/12/20,9.7
Florida,10/12/20,7.1
Georgia,10/12/20,10.1
Hawaii,10/12/20,8
Idaho,10/12/20,8.5
Illinois,10/12/20,9.6
Indiana,10/12/20,9.5
Iowa,10/12/20,8.3
Kansas,10/12/20,12.9
Kentucky,10/12/20,12.5
Louisiana,10/12/20,10
Maine,10/12/20,9.7
Maryland,10/12/20,10.8
Massachusetts,10/12/20,8.6
Michigan,10/12/20,12.8
Minnesota,10/12/20,8.4
Mississippi,10/12/20,8.8
Missouri,10/12/20,11.7
Montana,10/12/20,8.7
Nebraska,10/12/20,8.6
Nevada,10/12/20,10.7
New Hampshire,10/12/20,7.6
New Jersey,10/12/20,8
New Mexico,10/12/20,11
New York,10/12/20,8.4
North Carolina,10/12/20,10
North Dakota,10/12/20,6.9
Ohio,10/12/20,7.8
Oklahoma,10/12/20,10.7
Oregon,10/12/20,11.3
Pennsylvania,10/12/20,9.7
Rhode Island,10/12/20,7.9
South Carolina,10/12/20,9.1
South Dakota,10/12/20,6.2
Tennessee,10/12/20,10.8
Texas,10/12/20,9.3
Utah,10/12/20,12.2
Vermont,10/12/20,12.6
Virginia,10/12/20,10.6
Washington,10/12/20,11.6
West Virginia,10/12/20,11
Wisconsin,10/12/20,7.7
Wyoming,10/12/20,6.5
Alabama,10/26/20,7.7
Alaska,10/26/20,11.3
Arizona,10/26/20,10.5
Arkansas,10/26/20,10.5
California,10/26/20,12
Colorado,10/26/20,14.1
Connecticut,10/26/20,8.7
Delaware,10/26/20,12.4
District of Columbia,10/26/20,13.8
Florida,10/26/20,10.2
Georgia,10/26/20,12.5
Hawaii,10/26/20,7.3
Idaho,10/26/20,10
Illinois,10/26/20,8.7
Indiana,10/26/20,9.9
Iowa,10/26/20,9.5
Kansas,10/26/20,9.4
Kentucky,10/26/20,9.9
Louisiana,10/26/20,9.7
Maine,10/26/20,10.3
Maryland,10/26/20,9.9
Massachusetts,10/26/20,10.8
Michigan,10/26/20,12.8
Minnesota,10/26/20,8.1
Mississippi,10/26/20,13.1
Missouri,10/26/20,12.8
Montana,10/26/20,10.3
Nebraska,10/26/20,9.3
Nevada,10/26/20,12.9
New Hampshire,10/26/20,7.8
New Jersey,10/26/20,9
New Mexico,10/26/20,11.8
New York,10/26/20,9.3
North Carolina,10/26/20,11
North Dakota,10/26/20,5.7
Ohio,10/26/20,11.9
Oklahoma,10/26/20,12.1
Oregon,10/26/20,12.8
Pennsylvania,10/26/20,9.3
Rhode Island,10/26/20,12.2
South Carolina,10/26/20,8.8
South Dakota,10/26/20,4.9
Tennessee,10/26/20,9.9
Texas,10/26/20,9.9
Utah,10/26/20,10.3
Vermont,10/26/20,9.7
Virginia,10/26/20,10
Washington,10/26/20,11
West Virginia,10/26/20,8.1
Wisconsin,10/26/20,10.6
Wyoming,10/26/20,9.1
Alabama,11/9/20,7.8
Alaska,11/9/20,11.3
Arizona,11/9/20,10.8
Arkansas,11/9/20,12.1
California,11/9/20,14.1
Colorado,11/9/20,15.4
Connecticut,11/9/20,8.6
Delaware,11/9/20,14.3
District of Columbia,11/9/20,14.1
Florida,11/9/20,8.9
Georgia,11/9/20,11.7
Hawaii,11/9/20,6.7
Idaho,11/9/20,10.6
Illinois,11/9/20,10.1
Indiana,11/9/20,12.7
Iowa,11/9/20,12
Kansas,11/9/20,12.5
Kentucky,11/9/20,12.6
Louisiana,11/9/20,9.4
Maine,11/9/20,11.6
Maryland,11/9/20,9.8
Massachusetts,11/9/20,10.9
Michigan,11/9/20,9.1
Minnesota,11/9/20,11.1
Mississippi,11/9/20,11.8
Missouri,11/9/20,11.4
Montana,11/9/20,7.4
Nebraska,11/9/20,9.1
Nevada,11/9/20,11.8
New Hampshire,11/9/20,7.9
New Jersey,11/9/20,9.2
New Mexico,11/9/20,14.1
New York,11/9/20,6.8
North Carolina,11/9/20,10.4
North Dakota,11/9/20,8.8
Ohio,11/9/20,10
Oklahoma,11/9/20,16.9
Oregon,11/9/20,15.5
Pennsylvania,11/9/20,9.9
Rhode Island,11/9/20,10.2
South Carolina,11/9/20,13.7
South Dakota,11/9/20,9
Tennessee,11/9/20,9.9
Texas,11/9/20,13.7
Utah,11/9/20,15.4
Vermont,11/9/20,16
Virginia,11/9/20,10.9
Washington,11/9/20,12.6
West Virginia,11/9/20,8.9
Wisconsin,11/9/20,11
Wyoming,11/9/20,11.5
Alabama,11/23/20,13.7
Alaska,11/23/20,13.9
Arizona,11/23/20,12.1
Arkansas,11/23/20,11.7
California,11/23/20,13.4
Colorado,11/23/20,12.2
Connecticut,11/23/20,9.5
Delaware,11/23/20,11.3
District of Columbia,11/23/20,13.1
Florida,11/23/20,10.1
Georgia,11/23/20,11.7
Hawaii,11/23/20,6.5
Idaho,11/23/20,10.1
Illinois,11/23/20,12.9
Indiana,11/23/20,10.7
Iowa,11/23/20,9.6
Kansas,11/23/20,11.4
Kentucky,11/23/20,9.4
Louisiana,11/23/20,10.5
Maine,11/23/20,10.5
Maryland,11/23/20,11.5
Massachusetts,11/23/20,10.7
Michigan,11/23/20,11.8
Minnesota,11/23/20,9.5
Mississippi,11/23/20,10.7
Missouri,11/23/20,10.6
Montana,11/23/20,9.9
Nebraska,11/23/20,9.7
Nevada,11/23/20,11.5
New Hampshire,11/23/20,8.8
New Jersey,11/23/20,8.2
New Mexico,11/23/20,10.8
New York,11/23/20,7.9
North Carolina,11/23/20,13.7
North Dakota,11/23/20,10
Ohio,11/23/20,9.6
Oklahoma,11/23/20,11.9
Oregon,11/23/20,15.3
Pennsylvania,11/23/20,9.4
Rhode Island,11/23/20,11
South Carolina,11/23/20,14.9
South Dakota,11/23/20,12.9
Tennessee,11/23/20,11.5
Texas,11/23/20,11
Utah,11/23/20,15.5
Vermont,11/23/20,7.4
Virginia,11/23/20,9.4
Washington,11/23/20,11.7
West Virginia,11/23/20,12.5
Wisconsin,11/23/20,8
Wyoming,11/23/20,9
Alabama,12/7/20,10.3
Alaska,12/7/20,11.5
Arizona,12/7/20,11.6
Arkansas,12/7/20,11.8
California,12/7/20,14.3
Colorado,12/7/20,12.5
Connecticut,12/7/20,11.2
Delaware,12/7/20,15.3
District of Columbia,12/7/20,18.5
Florida,12/7/20,10.9
Georgia,12/7/20,16.1
Hawaii,12/7/20,7
Idaho,12/7/20,12.5
Illinois,12/7/20,10.7
Indiana,12/7/20,12.5
Iowa,12/7/20,8.5
Kansas,12/7/20,11.4
Kentucky,12/7/20,12.6
Louisiana,12/7/20,12.4
Maine,12/7/20,11.6
Maryland,12/7/20,11.2
Massachusetts,12/7/20,11.5
Michigan,12/7/20,9.8
Minnesota,12/7/20,10.4
Mississippi,12/7/20,13.5
Missouri,12/7/20,12.6
Montana,12/7/20,11.7
Nebraska,12/7/20,8.3
Nevada,12/7/20,12.3
New Hampshire,12/7/20,8.9
New Jersey,12/7/20,8.8
New Mexico,12/7/20,10
New York,12/7/20,9.4
North Carolina,12/7/20,15
North Dakota,12/7/20,4.1
Ohio,12/7/20,15.2
Oklahoma,12/7/20,16.5
Oregon,12/7/20,12.9
Pennsylvania,12/7/20,11.5
Rhode Island,12/7/20,9
South Carolina,12/7/20,10
South Dakota,12/7/20,7.5
Tennessee,12/7/20,13.9
Texas,12/7/20,10.7
Utah,12/7/20,17.9
Vermont,12/7/20,12.8
Virginia,12/7/20,10.2
Washington,12/7/20,13.4
West Virginia,12/7/20,12.9
Wisconsin,12/7/20,8.8
Wyoming,12/7/20,12.4
Alabama,12/21/20,13.1
Alaska,12/21/20,12.8
Arizona,12/21/20,14.1
Arkansas,12/21/20,10.5
California,12/21/20,14.7
Colorado,12/21/20,15.8
Connecticut,12/21/20,13.3
Delaware,12/21/20,13.5
District of Columbia,12/21/20,16.3
Florida,12/21/20,12.8
Georgia,12/21/20,9.7
Hawaii,12/21/20,6.1
Idaho,12/21/20,14.2
Illinois,12/21/20,10.4
Indiana,12/21/20,10.3
Iowa,12/21/20,12
Kansas,12/21/20,12.7
Kentucky,12/21/20,13
Louisiana,12/21/20,11.4
Maine,12/21/20,11.3
Maryland,12/21/20,11.1
Massachusetts,12/21/20,10.9
Michigan,12/21/20,13.9
Minnesota,12/21/20,12.1
Mississippi,12/21/20,11.7
Missouri,12/21/20,11.3
Montana,12/21/20,12.7
Nebraska,12/21/20,10.6
Nevada,12/21/20,14.5
New Hampshire,12/21/20,8
New Jersey,12/21/20,8.4
New Mexico,12/21/20,13.6
New York,12/21/20,9.1
North Carolina,12/21/20,13.3
North Dakota,12/21/20,9.3
Ohio,12/21/20,15.1
Oklahoma,12/21/20,13.3
Oregon,12/21/20,16.5
Pennsylvania,12/21/20,9.3
Rhode Island,12/21/20,6.4
South Carolina,12/21/20,11.8
South Dakota,12/21/20,8.3
Tennessee,12/21/20,13.3
Texas,12/21/20,13.9
Utah,12/21/20,15.4
Vermont,12/21/20,9
Virginia,12/21/20,13.1
Washington,12/21/20,13
West Virginia,12/21/20,14.7
Wisconsin,12/21/20,9.1
Wyoming,12/21/20,8.6
Alabama,1/18/21,12.9
Alaska,1/18/21,13.1
Arizona,1/18/21,11.4
Arkansas,1/18/21,9.3
California,1/18/21,10.8
Colorado,1/18/21,15.1
Connecticut,1/18/21,9.6
Delaware,1/18/21,9
District of Columbia,1/18/21,12.5
Florida,1/18/21,10.6
Georgia,1/18/21,17.3
Hawaii,1/18/21,7.4
Idaho,1/18/21,11.6
Illinois,1/18/21,11
Indiana,1/18/21,10.1
Iowa,1/18/21,12
Kansas,1/18/21,11.8
Kentucky,1/18/21,13.1
Louisiana,1/18/21,11.1
Maine,1/18/21,7.9
Maryland,1/18/21,10.8
Massachusetts,1/18/21,10.7
Michigan,1/18/21,12.3
Minnesota,1/18/21,10
Mississippi,1/18/21,15.4
Missouri,1/18/21,16.4
Montana,1/18/21,12.4
Nebraska,1/18/21,12.1
Nevada,1/18/21,12.3
New Hampshire,1/18/21,10.2
New Jersey,1/18/21,10.7
New Mexico,1/18/21,8.2
New York,1/18/21,8.8
North Carolina,1/18/21,12.1
North Dakota,1/18/21,14
Ohio,1/18/21,12.5
Oklahoma,1/18/21,9.6
Oregon,1/18/21,13.1
Pennsylvania,1/18/21,10.7
Rhode Island,1/18/21,10.6
South Carolina,1/18/21,9.9
South Dakota,1/18/21,7.3
Tennessee,1/18/21,11
Texas,1/18/21,11.4
Utah,1/18/21,14.6
Vermont,1/18/21,8.6
Virginia,1/18/21,10.1
Washington,1/18/21,12.3
West Virginia,1/18/21,12.9
Wisconsin,1/18/21,10.2
Wyoming,1/18/21,10.5
Alabama,2/1/21,11.2
Alaska,2/1/21,12.5
Arizona,2/1/21,12.6
Arkansas,2/1/21,12.1
California,2/1/21,12
Colorado,2/1/21,11.5
Connecticut,2/1/21,9.9
Delaware,2/1/21,8.2
District of Columbia,2/1/21,13.1
Florida,2/1/21,11.1
Georgia,2/1/21,15.1
Hawaii,2/1/21,8.1
Idaho,2/1/21,11.6
Illinois,2/1/21,12.7
Indiana,2/1/21,12
Iowa,2/1/21,9.9
Kansas,2/1/21,10
Kentucky,2/1/21,11.2
Louisiana,2/1/21,10.1
Maine,2/1/21,6.4
Maryland,2/1/21,13.5
Massachusetts,2/1/21,10.8
Michigan,2/1/21,14
Minnesota,2/1/21,8
Mississippi,2/1/21,10.9
Missouri,2/1/21,12.8
Montana,2/1/21,9.3
Nebraska,2/1/21,9.9
Nevada,2/1/21,13.1
New Hampshire,2/1/21,7.2
New Jersey,2/1/21,9.5
New Mexico,2/1/21,11.5
New York,2/1/21,9
North Carolina,2/1/21,12
North Dakota,2/1/21,9.7
Ohio,2/1/21,9.4
Oklahoma,2/1/21,14.1
Oregon,2/1/21,14.8
Pennsylvania,2/1/21,11.2
Rhode Island,2/1/21,12.2
South Carolina,2/1/21,10
South Dakota,2/1/21,5.9
Tennessee,2/1/21,12.2
Texas,2/1/21,13.1
Utah,2/1/21,13
Vermont,2/1/21,9
Virginia,2/1/21,11.2
Washington,2/1/21,16.1
West Virginia,2/1/21,11.4
Wisconsin,2/1/21,11.2
Wyoming,2/1/21,9.2
Alabama,2/15/21,10.8
Alaska,2/15/21,10.5
Arizona,2/15/21,11.2
Arkansas,2/15/21,10.6
California,2/15/21,11.9
Colorado,2/15/21,14.1
Connecticut,2/15/21,10.4
Delaware,2/15/21,9.1
District of Columbia,2/15/21,14.3
Florida,2/15/21,10.2
Georgia,2/15/21,11.5
Hawaii,2/15/21,7.7
Idaho,2/15/21,15.1
Illinois,2/15/21,11.3
Indiana,2/15/21,10.4
Iowa,2/15/21,8.4
Kansas,2/15/21,10.7
Kentucky,2/15/21,11.6
Louisiana,2/15/21,8.9
Maine,2/15/21,8.9
Maryland,2/15/21,9.3
Massachusetts,2/15/21,9.3
Michigan,2/15/21,12.2
Minnesota,2/15/21,11.5
Mississippi,2/15/21,9.8
Missouri,2/15/21,12.6
Montana,2/15/21,9.4
Nebraska,2/15/21,11.6
Nevada,2/15/21,13.8
New Hampshire,2/15/21,8.1
New Jersey,2/15/21,11.6
New Mexico,2/15/21,12.3
New York,2/15/21,9.9
North Carolina,2/15/21,10.3
North Dakota,2/15/21,9.6
Ohio,2/15/21,10
Oklahoma,2/15/21,13
Oregon,2/15/21,16.7
Pennsylvania,2/15/21,8.5
Rhode Island,2/15/21,8.9
South Carolina,2/15/21,14.5
South Dakota,2/15/21,13.2
Tennessee,2/15/21,12.8
Texas,2/15/21,13.2
Utah,2/15/21,14.6
Vermont,2/15/21,11.2
Virginia,2/15/21,12.2
Washington,2/15/21,15.6
West Virginia,2/15/21,10.3
Wisconsin,2/15/21,11.9
Wyoming,2/15/21,7
Alabama,3/1/21,9.4
Alaska,3/1/21,11.2
Arizona,3/1/21,10.7
Arkansas,3/1/21,11.5
California,3/1/21,12.7
Colorado,3/1/21,13.8
Connecticut,3/1/21,10.9
Delaware,3/1/21,9
District of Columbia,3/1/21,12.4
Florida,3/1/21,10.9
Georgia,3/1/21,16.7
Hawaii,3/1/21,5.8
Idaho,3/1/21,12.4
Illinois,3/1/21,13
Indiana,3/1/21,13.6
Iowa,3/1/21,11.1
Kansas,3/1/21,10.2
Kentucky,3/1/21,11.4
Louisiana,3/1/21,12.9
Maine,3/1/21,14.5
Maryland,3/1/21,10.6
Massachusetts,3/1/21,12.1
Michigan,3/1/21,12.7
Minnesota,3/1/21,10.2
Mississippi,3/1/21,13.3
Missouri,3/1/21,15.1
Montana,3/1/21,10.2
Nebraska,3/1/21,10.7
Nevada,3/1/21,11.3
New Hampshire,3/1/21,10.7
New Jersey,3/1/21,9.6
New Mexico,3/1/21,10.6
New York,3/1/21,10.4
North Carolina,3/1/21,11.9
North Dakota,3/1/21,8.7
Ohio,3/1/21,12.1
Oklahoma,3/1/21,9.8
Oregon,3/1/21,17.8
Pennsylvania,3/1/21,9.2
Rhode Island,3/1/21,11.3
South Carolina,3/1/21,11.4
South Dakota,3/1/21,5.9
Tennessee,3/1/21,10.9
Texas,3/1/21,12.5
Utah,3/1/21,14.3
Vermont,3/1/21,7.5
Virginia,3/1/21,9.6
Washington,3/1/21,12.6
West Virginia,3/1/21,13
Wisconsin,3/1/21,10.8
Wyoming,3/1/21,16.2
Alabama,3/15/21,12.5
Alaska,3/15/21,10.7
Arizona,3/15/21,14.7
Arkansas,3/15/21,13.3
California,3/15/21,12.4
Colorado,3/15/21,16.9
Connecticut,3/15/21,9.1
Delaware,3/15/21,8.8
District of Columbia,3/15/21,20.1
Florida,3/15/21,10.7
Georgia,3/15/21,9.2
Hawaii,3/15/21,8.5
Idaho,3/15/21,11.7
Illinois,3/15/21,10.2
Indiana,3/15/21,13.4
Iowa,3/15/21,11.4
Kansas,3/15/21,12.7
Kentucky,3/15/21,12.9
Louisiana,3/15/21,11.6
Maine,3/15/21,9.4
Maryland,3/15/21,10.6
Massachusetts,3/15/21,10.3
Michigan,3/15/21,11.1
Minnesota,3/15/21,11
Mississippi,3/15/21,9.2
Missouri,3/15/21,14.1
Montana,3/15/21,11
Nebraska,3/15/21,10.6
Nevada,3/15/21,12.2
New Hampshire,3/15/21,8.6
New Jersey,3/15/21,9.5
New Mexico,3/15/21,12.5
New York,3/15/21,10.9
North Carolina,3/15/21,10.4
North Dakota,3/15/21,7.3
Ohio,3/15/21,14
Oklahoma,3/15/21,12.4
Oregon,3/15/21,16.4
Pennsylvania,3/15/21,10.7
Rhode Island,3/15/21,13.9
South Carolina,3/15/21,9.3
South Dakota,3/15/21,6.2
Tennessee,3/15/21,13.8
Texas,3/15/21,11.4
Utah,3/15/21,12.8
Vermont,3/15/21,10.8
Virginia,3/15/21,11.1
Washington,3/15/21,15.9
West Virginia,3/15/21,14.6
Wisconsin,3/15/21,9
Wyoming,3/15/21,11.4
Alabama,3/29/21,12.3
Alaska,3/29/21,9.8
Arizona,3/29/21,13
Arkansas,3/29/21,11.5
California,3/29/21,11.6
Colorado,3/29/21,11.7
Connecticut,3/29/21,9.5
Delaware,3/29/21,8.8
District of Columbia,3/29/21,12.5
Florida,3/29/21,11.3
Georgia,3/29/21,14.3
Hawaii,3/29/21,6.2
Idaho,3/29/21,9.8
Illinois,3/29/21,11.3
Indiana,3/29/21,9.2
Iowa,3/29/21,10.8
Kansas,3/29/21,12.6
Kentucky,3/29/21,8.3
Louisiana,3/29/21,9.8
