group,period_end,value
18 - 29 years,8/31/20,18.7
30 - 39 years,8/31/20,18.3
40 - 49 years,8/31/20,20.4
50 - 59 years,8/31/20,21.2
60 - 69 years,8/31/20,19.7
70 - 79 years,8/31/20,18.4
80 years and above,8/31/20,13.8
18 - 29 years,9/14/20,18.4
30 - 39 years,9/14/20,19.5
40 - 49 years,9/14/20,19.9
50 - 59 years,9/14/20,21
60 - 69 years,9/14/20,21.1
70 - 79 years,9/14/20,18.1
80 years and above,9/14/20,11.7
18 - 29 years,9/28/20,19.1
30 - 39 years,9/28/20,20
40 - 49 years,9/28/20,20.4
50 - 59 years,9/28/20,21.2
60 - 69 years,9/28/20,21
70 - 79 years,9/28/20,16.6
80 years and above,9/28/20,13.3
18 - 29 years,10/12/20,17.5
30 - 39 years,10/12/20,19.2
40 - 49 years,10/12/20,21.1
50 - 59 years,10/12/20,21.1
60 - 69 years,10/12/20,20.1
70 - 79 years,10/12/20,18.2
80 years and above,10/12/20,12.9
18 - 29 years,10/26/20,19.4
30 - 39 years,10/26/20,21
40 - 49 years,10/26/20,21.3
50 - 59 years,10/26/20,22.9
60 - 69 years,10/26/20,19.5
70 - 79 years,10/26/20,17.6
80 years and above,10/26/20,12
18 - 29 years,11/9/20,21
30 - 39 years,11/9/20,22.3
40 - 49 years,11/9/20,20.3
50 - 59 years,11/9/20,21.4
60 - 69 years,11/9/20,21.5
70 - 79 years,11/9/20,18.4
80 years and above,11/9/20,13.6
18 - 29 years,11/23/20,19.9
30 - 39 years,11/23/20,21.9
40 - 49 years,11/23/20,21.9
50 - 59 years,11/23/20,24.6
60 - 69 years,11/23/20,22.2
70 - 79 years,11/23/20,18.9
80 years and above,11/23/20,13.8
18 - 29 years,12/7/20,20
30 - 39 years,12/7/20,21.1
40 - 49 years,12/7/20,23.1
50 - 59 years,12/7/20,24.3
60 - 69 years,12/7/20,20.7
70 - 79 years,12/7/20,19.5
80 years and above,12/7/20,12.5
18 - 29 years,12/21/20,19.9
30 - 39 years,12/21/20,22.1
40 - 49 years,12/21/20,22.2
50 - 59 years,12/21/20,23.6
60 - 69 years,12/21/20,22.4
70 - 79 years,12/21/20,19.6
80 years and above,12/21/20,21
18 - 29 years,1/18/21,20.7
30 - 39 years,1/18/21,21.1
40 - 49 years,1/18/21,21.5
50 - 59 years,1/18/21,20.6
60 - 69 years,1/18/21,20.4
70 - 79 years,1/18/21,20.7
80 years and above,1/18/21,16.6
18 - 29 years,2/1/21,20.9
30 - 39 years,2/1/21,20.9
40 - 49 years,2/1/21,21.3
50 - 59 years,2/1/21,23
60 - 69 years,2/1/21,21.7
70 - 79 years,2/1/21,19.3
80 years and above,2/1/21,16.5
18 - 29 years,2/15/21,20.8
30 - 39 years,2/15/21,21.3
40 - 49 years,2/15/21,21.4
50 - 59 years,2/15/21,21.5
60 - 69 years,2/15/21,21.7
70 - 79 years,2/15/21,18
80 years and above,2/15/21,13.8
18 - 29 years,3/1/21,20.6
30 - 39 years,3/1/21,21.9
40 - 49 years,3/1/21,22.7
50 - 59 years,3/1/21,22.9
60 - 69 years,3/1/21,20.4
70 - 79 years,3/1/21,18.2
80 years and above,3/1/21,15.1
18 - 29 years,3/15/21,21.9
30 - 39 years,3/15/21,23.2
40 - 49 years,3/15/21,21.4
50 - 59 years,3/15/21,21.7
60 - 69 years,3/15/21,20.6
70 - 79 years,3/15/21,17.5
80 years and above,3/15/21,16
18 - 29 years,3/29/21,19.5
30 - 39 years,3/29/21,22
40 - 49 years,3/29/21,22.2
50 - 59 years,3/29/21,22
60 - 69 years,3/29/21,19.8
70 - 79 years,3/29/21,17.1
80 years and above,3/29/21,17
18 - 29 years,4/26/21,21.8
30 - 39 years,4/26/21,20.4
40 - 49 years,4/26/21,22.8
50 - 59 years,4/26/21,22.3
60 - 69 years,4/26/21,21.1
70 - 79 years,4/26/21,19.2
80 years and above,4/26/21,14.7
18 - 29 years,5/10/21,21
30 - 39 years,5/10/21,22.2
40 - 49 years,5/10/21,22.9
50 - 59 years,5/10/21,22.7
60 - 69 years,5/10/21,21.3
70 - 79 years,5/10/21,18.5
80 years and above,5/10/21,14.3
18 - 29 years,5/24/21,21.7
30 - 39 years,5/24/21,20.1
40 - 49 years,5/24/21,20.5
50 - 59 years,5/24/21,22.8
60 - 69 years,5/24/21,22
70 - 79 years,5/24/21,19.9
80 years and above,5/24/21,15.2
18 - 29 years,6/7/21,20.9
30 - 39 years,6/7/21,22
40 - 49 years,6/7/21,21.9
50 - 59 years,6/7/21,24
60 - 69 years,6/7/21,20.7
70 - 79 years,6/7/21,18.4
80 years and above,6/7/21,13.7
18 - 29 years,6/21/21,20.7
30 - 39 years,6/21/21,22
40 - 49 years,6/21/21,22
50 - 59 years,6/21/21,21.8
60 - 69 years,6/21/21,20.8
70 - 79 years,6/21/21,19.3
80 years and above,6/21/21,12.6
18 - 29 years,7/5/21,22
30 - 39 years,7/5/21,20.9
40 - 49 years,7/5/21,22.7
50 - 59 years,7/5/21,22
60 - 69 years,7/5/21,21.1
70 - 79 years,7/5/21,19
80 years and above,7/5/21,16
18 - 29 years,8/2/21,22.9
30 - 39 years,8/2/21,22.7
40 - 49 years,8/2/21,23
50 - 59 years,8/2/21,23.5
60 - 69 years,8/2/21,22.1
70 - 79 years,8/2/21,20.4
80 years and above,8/2/21,16.4
18 - 29 years,8/16/21,21
30 - 39 years,8/16/21,21.7
40 - 49 years,8/16/21,22.9
50 - 59 years,8/16/21,23.9
60 - 69 years,8/16/21,22.5
70 - 79 years,8/16/21,19.5
80 years and above,8/16/21,19.8
18 - 29 years,8/30/21,21.6
30 - 39 years,8/30/21,21.6
40 - 49 years,8/30/21,21.6
50 - 59 years,8/30/21,23
60 - 69 years,8/30/21,22
70 - 79 years,8/30/21,20.5
80 years and above,8/30/21,13.5
18 - 29 years,9/13/21,22.6
30 - 39 years,9/13/21,21.8
40 - 49 years,9/13/21,23.2
50 - 59 years,9/13/21,23.5
60 - 69 years,9/13/21,22.1
70 - 79 years,9/13/21,20.3
80 years and above,9/13/21,17
18 - 29 years,9/27/21,20.5
30 - 39 years,9/27/21,22.7
40 - 49 years,9/27/21,22.8
50 - 59 years,9/27/21,24.9
60 - 69 years,9/27/21,22.8
70 - 79 years,9/27/21,21.4
80 years and above,9/27/21,13.4
18 - 29 years,10/11/21,20.3
30 - 39 years,10/11/21,21.4
40 - 49 years,10/11/21,24.8
50 - 59 years,10/11/21,23
60 - 69 years,10/11/21,23.8
70 - 79 years,10/11/21,21.1
80 years and above,10/11/21,17.4
18 - 29 years,12/13/21,22.1
30 - 39 years,12/13/21,22.1
40 - 49 years,12/13/21,23.1
50 - 59 years,12/13/21,24.1
60 - 69 years,12/13/21,22.6
70 - 79 years,12/13/21,18.8
80 years and above,12/13/21,13.6
18 - 29 years,1/10/22,22
30 - 39 years,1/10/22,22.3
40 - 49 years,1/10/22,24
50 - 59 years,1/10/22,22.1
60 - 69 years,1/10/22,23.5
70 - 79 years,1/10/22,19.5
80 years and above,1/10/22,18
18 - 29 years,2/7/22,21.6
30 - 39 years,2/7/22,22.4
40 - 49 years,2/7/22,22.7
50 - 59 years,2/7/22,23.8
60 - 69 years,2/7/22,22.1
70 - 79 years,2/7/22,20.2
80 years and above,2/7/22,16.8
18 - 29 years,3/14/22,24.5
30 - 39 years,3/14/22,21.9
40 - 49 years,3/14/22,21.9
50 - 59 years,3/14/22,23
60 - 69 years,3/14/22,22.2
70 - 79 years,3/14/22,20.6
80 years and above,3/14/22,14.9
18 - 29 years,4/11/22,27.2
30 - 39 years,4/11/22,23.6
40 - 49 years,4/11/22,24
50 - 59 years,4/11/22,24.2
60 - 69 years,4/11/22,23
70 - 79 years,4/11/22,19.8
80 years and above,4/11/22,15.4
18 - 29 years,5/9/22,23
30 - 39 years,5/9/22,24.6
40 - 49 years,5/9/22,22.5
50 - 59 years,5/9/22,24.2
60 - 69 years,5/9/22,22.7
70 - 79 years,5/9/22,23
80 years and above,5/9/22,14
