group,period_end,value
High school diploma or GED,8/31/20,18.1
Bachelor's degree or higher,8/31/20,19.4
High school diploma or GED,9/14/20,18.9
Bachelor's degree or higher,9/14/20,19
High school diploma or GED,9/28/20,17.8
Bachelor's degree or higher,9/28/20,19.5
High school diploma or GED,10/12/20,18.2
Bachelor's degree or higher,10/12/20,19.4
High school diploma or GED,10/26/20,18.2
Bachelor's degree or higher,10/26/20,20.1
High school diploma or GED,11/9/20,20.1
Bachelor's degree or higher,11/9/20,20.3
High school diploma or GED,11/23/20,20.8
Bachelor's degree or higher,11/23/20,21.1
High school diploma or GED,12/7/20,20
Bachelor's degree or higher,12/7/20,21
High school diploma or GED,12/21/20,21.2
Bachelor's degree or higher,12/21/20,20.7
High school diploma or GED,1/18/21,19.9
Bachelor's degree or higher,1/18/21,20.3
High school diploma or GED,2/1/21,19.9
Bachelor's degree or higher,2/1/21,20.3
High school diploma or GED,2/15/21,19.1
Bachelor's degree or higher,2/15/21,20.5
High school diploma or GED,3/1/21,20.3
Bachelor's degree or higher,3/1/21,20.9
High school diploma or GED,3/15/21,19.1
Bachelor's degree or higher,3/15/21,20.6
High school diploma or GED,3/29/21,18.9
Bachelor's degree or higher,3/29/21,20.2
High school diploma or GED,4/26/21,18.7
Bachelor's degree or higher,4/26/21,19.9
High school diploma or GED,5/10/21,19.9
Bachelor's degree or higher,5/10/21,20.2
High school diploma or GED,5/24/21,19.5
Bachelor's degree or higher,5/24/21,20
High school diploma or GED,6/7/21,19.8
Bachelor's degree or higher,6/7/21,20.4
High school diploma or GED,6/21/21,19.5
Bachelor's degree or higher,6/21/21,20.6
High school diploma or GED,7/5/21,18.9
Bachelor's degree or higher,7/5/21,20.9
High school diploma or GED,8/2/21,20.9
Bachelor's degree or higher,8/2/21,20.9
High school diploma or GED,8/16/21,21.9
Bachelor's degree or higher,8/16/21,21.2
High school diploma or GED,8/30/21,20.5
Bachelor's degree or higher,8/30/21,21.8
High school diploma or GED,9/13/21,21.5
Bachelor's degree or higher,9/13/21,22.2
High school diploma or GED,9/27/21,20.5
Bachelor's degree or higher,9/27/21,21.4
High school diploma or GED,10/11/21,22.7
Bachelor's degree or higher,10/11/21,21.4
High school diploma or GED,12/13/21,20.2
Bachelor's degree or higher,12/13/21,21.5
High school diploma or GED,1/10/22,21.4
Bachelor's degree or higher,1/10/22,21.9
High school diploma or GED,2/7/22,20.9
Bachelor's degree or higher,2/7/22,21.7
High school diploma or GED,3/14/22,20.2
Bachelor's degree or higher,3/14/22,22.5
High school diploma or GED,4/11/22,22.8
Bachelor's degree or higher,4/11/22,22
High school diploma or GED,5/9/22,20.8
Bachelor's degree or higher,5/9/22,22.8
