group,period_end,value
Male,8/31/20,13.7
Female,8/31/20,24.6
Male,9/14/20,14.8
Female,9/14/20,24
Male,9/28/20,14.4
Female,9/28/20,24.8
Male,10/12/20,14.7
Female,10/12/20,23.9
Male,10/26/20,15.3
Female,10/26/20,24.8
Male,11/9/20,15.2
Female,11/9/20,25.9
Male,11/23/20,16
Female,11/23/20,26.7
Male,12/7/20,15.5
Female,12/7/20,26.9
Male,12/21/20,16
Female,12/21/20,27
Male,1/18/21,14.8
Female,1/18/21,26.1
Male,2/1/21,16.1
Female,2/1/21,25.8
Male,2/15/21,15.3
Female,2/15/21,25.9
Male,3/1/21,16.1
Female,3/1/21,25.7
Male,3/15/21,15.5
Female,3/15/21,26.4
Male,3/29/21,14.4
Female,3/29/21,26.3
Male,4/26/21,15.4
Female,4/26/21,26.3
Male,5/10/21,16.5
Female,5/10/21,25.9
Male,5/24/21,15.1
Female,5/24/21,26.5
Male,6/7/21,16
Female,6/7/21,26.1
Male,6/21/21,15.7
Female,6/21/21,25.9
Male,7/5/21,16
Female,7/5/21,25.9
Male,8/2/21,17.1
Female,8/2/21,27.3
Male,8/16/21,16.2
Female,8/16/21,27.4
Male,8/30/21,14.8
Female,8/30/21,27.8
Male,9/13/21,16
Female,9/13/21,28
Male,9/27/21,16.3
Female,9/27/21,28
Male,10/11/21,16
Female,10/11/21,28.2
Male,12/13/21,15.6
Female,12/13/21,28.2
Male,1/10/22,15.8
Female,1/10/22,28.4
Male,2/7/22,15.8
Female,2/7/22,28
Male,3/14/22,16.5
Female,3/14/22,27.6
Male,4/11/22,16.9
Female,4/11/22,29.6
Male,5/9/22,17.1
Female,5/9/22,28.8
