group,period_end,value
Hispanic or Latino,8/31/20,13.8
"Non-Hispanic White, single race",8/31/20,22.5
"Non-Hispanic Black, single race",8/31/20,12.6
"Non-Hispanic Asian, single race",8/31/20,8.1
"Non-Hispanic, other races and multiple races",8/31/20,22.1
Hispanic or Latino,9/14/20,15.9
"Non-Hispanic White, single race",9/14/20,22.1
"Non-Hispanic Black, single race",9/14/20,14.8
"Non-Hispanic Asian, single race",9/14/20,8.2
"Non-Hispanic, other races and multiple races",9/14/20,21.5
Hispanic or Latino,9/28/20,16.7
"Non-Hispanic White, single race",9/28/20,22.5
"Non-Hispanic Black, single race",9/28/20,13.4
"Non-Hispanic Asian, single race",9/28/20,8.4
"Non-Hispanic, other races and multiple races",9/28/20,20.3
Hispanic or Latino,10/12/20,15.6
"Non-Hispanic White, single race",10/12/20,22
"Non-Hispanic Black, single race",10/12/20,14
"Non-Hispanic Asian, single race",10/12/20,7.7
"Non-Hispanic, other races and multiple races",10/12/20,24
Hispanic or Latino,10/26/20,17.4
"Non-Hispanic White, single race",10/26/20,22.6
"Non-Hispanic Black, single race",10/26/20,14.7
"Non-Hispanic Asian, single race",10/26/20,8.7
"Non-Hispanic, other races and multiple races",10/26/20,21.6
Hispanic or Latino,11/9/20,16.9
"Non-Hispanic White, single race",11/9/20,23.4
"Non-Hispanic Black, single race",11/9/20,14.2
"Non-Hispanic Asian, single race",11/9/20,9.7
"Non-Hispanic, other races and multiple races",11/9/20,24.2
Hispanic or Latino,11/23/20,17.1
"Non-Hispanic White, single race",11/23/20,24.1
"Non-Hispanic Black, single race",11/23/20,18
"Non-Hispanic Asian, single race",11/23/20,8.1
"Non-Hispanic, other races and multiple races",11/23/20,23.4
Hispanic or Latino,12/7/20,15.2
"Non-Hispanic White, single race",12/7/20,24.5
"Non-Hispanic Black, single race",12/7/20,15.4
"Non-Hispanic Asian, single race",12/7/20,11.3
"Non-Hispanic, other races and multiple races",12/7/20,23.7
Hispanic or Latino,12/21/20,18.2
"Non-Hispanic White, single race",12/21/20,24.1
"Non-Hispanic Black, single race",12/21/20,16.9
"Non-Hispanic Asian, single race",12/21/20,9.2
"Non-Hispanic, other races and multiple races",12/21/20,26.6
Hispanic or Latino,1/18/21,14.4
"Non-Hispanic White, single race",1/18/21,23.8
"Non-Hispanic Black, single race",1/18/21,14.2
"Non-Hispanic Asian, single race",1/18/21,10.3
"Non-Hispanic, other races and multiple races",1/18/21,24.6
Hispanic or Latino,2/1/21,15.4
"Non-Hispanic White, single race",2/1/21,24.5
"Non-Hispanic Black, single race",2/1/21,15.8
"Non-Hispanic Asian, single race",2/1/21,9.5
"Non-Hispanic, other races and multiple races",2/1/21,19.6
Hispanic or Latino,2/15/21,14.9
"Non-Hispanic White, single race",2/15/21,24
"Non-Hispanic Black, single race",2/15/21,15.2
"Non-Hispanic Asian, single race",2/15/21,10.4
"Non-Hispanic, other races and multiple races",2/15/21,20.6
Hispanic or Latino,3/1/21,15.3
"Non-Hispanic White, single race",3/1/21,24.2
"Non-Hispanic Black, single race",3/1/21,15.5
"Non-Hispanic Asian, single race",3/1/21,9
"Non-Hispanic, other races and multiple races",3/1/21,25.3
Hispanic or Latino,3/15/21,16.3
"Non-Hispanic White, single race",3/15/21,24.2
"Non-Hispanic Black, single race",3/15/21,14.3
"Non-Hispanic Asian, single race",3/15/21,8.5
"Non-Hispanic, other races and multiple races",3/15/21,23.5
Hispanic or Latino,3/29/21,14.7
"Non-Hispanic White, single race",3/29/21,23.4
"Non-Hispanic Black, single race",3/29/21,15.5
"Non-Hispanic Asian, single race",3/29/21,10.8
"Non-Hispanic, other races and multiple races",3/29/21,22.6
Hispanic or Latino,4/26/21,17.8
"Non-Hispanic White, single race",4/26/21,23.8
"Non-Hispanic Black, single race",4/26/21,15.3
"Non-Hispanic Asian, single race",4/26/21,8.3
"Non-Hispanic, other races and multiple races",4/26/21,23.5
Hispanic or Latino,5/10/21,15.5
"Non-Hispanic White, single race",5/10/21,24.1
"Non-Hispanic Black, single race",5/10/21,16.5
"Non-Hispanic Asian, single race",5/10/21,11.2
"Non-Hispanic, other races and multiple races",5/10/21,26.1
Hispanic or Latino,5/24/21,16.8
"Non-Hispanic White, single race",5/24/21,23.8
"Non-Hispanic Black, single race",5/24/21,15.3
"Non-Hispanic Asian, single race",5/24/21,8.6
"Non-Hispanic, other races and multiple races",5/24/21,23.8
Hispanic or Latino,6/7/21,17.1
"Non-Hispanic White, single race",6/7/21,23.6
"Non-Hispanic Black, single race",6/7/21,17.6
"Non-Hispanic Asian, single race",6/7/21,10.3
"Non-Hispanic, other races and multiple races",6/7/21,23
Hispanic or Latino,6/21/21,15.5
"Non-Hispanic White, single race",6/21/21,23.6
"Non-Hispanic Black, single race",6/21/21,16.6
"Non-Hispanic Asian, single race",6/21/21,10.7
"Non-Hispanic, other races and multiple races",6/21/21,25.2
Hispanic or Latino,7/5/21,14.9
"Non-Hispanic White, single race",7/5/21,24.2
"Non-Hispanic Black, single race",7/5/21,16
"Non-Hispanic Asian, single race",7/5/21,11
"Non-Hispanic, other races and multiple races",7/5/21,24.9
Hispanic or Latino,8/2/21,17.4
"Non-Hispanic White, single race",8/2/21,25.4
"Non-Hispanic Black, single race",8/2/21,15.8
"Non-Hispanic Asian, single race",8/2/21,11.6
"Non-Hispanic, other races and multiple races",8/2/21,26.1
Hispanic or Latino,8/16/21,16.3
"Non-Hispanic White, single race",8/16/21,25.6
"Non-Hispanic Black, single race",8/16/21,14.5
"Non-Hispanic Asian, single race",8/16/21,9.4
"Non-Hispanic, other races and multiple races",8/16/21,23.7
Hispanic or Latino,8/30/21,14.2
"Non-Hispanic White, single race",8/30/21,24.9
"Non-Hispanic Black, single race",8/30/21,16.6
"Non-Hispanic Asian, single race",8/30/21,11
"Non-Hispanic, other races and multiple races",8/30/21,23.4
Hispanic or Latino,9/13/21,16.2
"Non-Hispanic White, single race",9/13/21,25.6
"Non-Hispanic Black, single race",9/13/21,16.2
"Non-Hispanic Asian, single race",9/13/21,8.8
"Non-Hispanic, other races and multiple races",9/13/21,25.6
Hispanic or Latino,9/27/21,16.5
"Non-Hispanic White, single race",9/27/21,25.6
"Non-Hispanic Black, single race",9/27/21,15.8
"Non-Hispanic Asian, single race",9/27/21,9.5
"Non-Hispanic, other races and multiple races",9/27/21,27.8
Hispanic or Latino,10/11/21,15.7
"Non-Hispanic White, single race",10/11/21,26.3
"Non-Hispanic Black, single race",10/11/21,15.4
"Non-Hispanic Asian, single race",10/11/21,8.1
"Non-Hispanic, other races and multiple races",10/11/21,24.1
Hispanic or Latino,12/13/21,16.2
"Non-Hispanic White, single race",12/13/21,25.5
"Non-Hispanic Black, single race",12/13/21,16.7
"Non-Hispanic Asian, single race",12/13/21,9.6
"Non-Hispanic, other races and multiple races",12/13/21,23
Hispanic or Latino,1/10/22,17.3
"Non-Hispanic White, single race",1/10/22,25.7
"Non-Hispanic Black, single race",1/10/22,14.2
"Non-Hispanic Asian, single race",1/10/22,10.8
"Non-Hispanic, other races and multiple races",1/10/22,25.1
Hispanic or Latino,2/7/22,16.2
"Non-Hispanic White, single race",2/7/22,25.6
"Non-Hispanic Black, single race",2/7/22,15.6
"Non-Hispanic Asian, single race",2/7/22,7.3
"Non-Hispanic, other races and multiple races",2/7/22,26.4
Hispanic or Latino,3/14/22,13.9
"Non-Hispanic White, single race",3/14/22,26.2
"Non-Hispanic Black, single race",3/14/22,15.4
"Non-Hispanic Asian, single race",3/14/22,10
"Non-Hispanic, other races and multiple races",3/14/22,26.9
Hispanic or Latino,4/11/22,19.6
"Non-Hispanic White, single race",4/11/22,26.6
"Non-Hispanic Black, single race",4/11/22,15.9
"Non-Hispanic Asian, single race",4/11/22,10.8
"Non-Hispanic, other races and multiple races",4/11/22,26.1
Hispanic or Latino,5/9/22,18
"Non-Hispanic White, single race",5/9/22,26.4
"Non-Hispanic Black, single race",5/9/22,16.2
"Non-Hispanic Asian, single race",5/9/22,9.8
"Non-Hispanic, other races and multiple races",5/9/22,27
