group,period_end,value
Alabama,8/31/20,22.3
Alaska,8/31/20,16.7
Arizona,8/31/20,18.3
Arkansas,8/31/20,24.1
California,8/31/20,15.8
Colorado,8/31/20,17
Connecticut,8/31/20,18.8
Delaware,8/31/20,19.8
District of Columbia,8/31/20,18
Florida,8/31/20,19
Georgia,8/31/20,21.1
Hawaii,8/31/20,12.2
Idaho,8/31/20,22.5
Illinois,8/31/20,17.2
Indiana,8/31/20,23.5
Iowa,8/31/20,23.1
Kansas,8/31/20,21.2
Kentucky,8/31/20,26.8
Louisiana,8/31/20,23.6
Maine,8/31/20,23.1
Maryland,8/31/20,17.1
Massachusetts,8/31/20,19.9
Michigan,8/31/20,20.4
Minnesota,8/31/20,20.6
Mississippi,8/31/20,20.8
Missouri,8/31/20,23.7
Montana,8/31/20,18.4
Nebraska,8/31/20,23.6
Nevada,8/31/20,15
New Hampshire,8/31/20,21.1
New Jersey,8/31/20,18.7
New Mexico,8/31/20,18.5
New York,8/31/20,17.8
North Carolina,8/31/20,19.4
North Dakota,8/31/20,19.6
Ohio,8/31/20,21.7
Oklahoma,8/31/20,21.9
Oregon,8/31/20,22.9
Pennsylvania,8/31/20,22.1
Rhode Island,8/31/20,23.1
South Carolina,8/31/20,20.5
South Dakota,8/31/20,17.8
Tennessee,8/31/20,21.2
Texas,8/31/20,16.4
Utah,8/31/20,23.9
Vermont,8/31/20,23.2
Virginia,8/31/20,18.9
Washington,8/31/20,20.9
West Virginia,8/31/20,22.4
Wisconsin,8/31/20,19.7
Wyoming,8/31/20,18.7
Alabama,9/14/20,21
Alaska,9/14/20,15
Arizona,9/14/20,19.6
Arkansas,9/14/20,25.7
California,9/14/20,15.9
Colorado,9/14/20,17.8
Connecticut,9/14/20,20
Delaware,9/14/20,22.8
District of Columbia,9/14/20,19.6
Florida,9/14/20,17.1
Georgia,9/14/20,20.3
Hawaii,9/14/20,11.2
Idaho,9/14/20,23.2
Illinois,9/14/20,19
Indiana,9/14/20,23.3
Iowa,9/14/20,22.4
Kansas,9/14/20,22.2
Kentucky,9/14/20,26
Louisiana,9/14/20,23.1
Maine,9/14/20,30.1
Maryland,9/14/20,16.9
Massachusetts,9/14/20,23.2
Michigan,9/14/20,21.5
Minnesota,9/14/20,22.9
Mississippi,9/14/20,23.5
Missouri,9/14/20,21.3
Montana,9/14/20,21.8
Nebraska,9/14/20,21.3
Nevada,9/14/20,15.9
New Hampshire,9/14/20,22.9
New Jersey,9/14/20,17.9
New Mexico,9/14/20,18.8
New York,9/14/20,17.8
North Carolina,9/14/20,22.3
North Dakota,9/14/20,15.7
Ohio,9/14/20,21.2
Oklahoma,9/14/20,22.6
Oregon,9/14/20,21.2
Pennsylvania,9/14/20,20.1
Rhode Island,9/14/20,22.6
South Carolina,9/14/20,22.7
South Dakota,9/14/20,20.3
Tennessee,9/14/20,19.4
Texas,9/14/20,18.1
Utah,9/14/20,22.3
Vermont,9/14/20,22.3
Virginia,9/14/20,19.5
Washington,9/14/20,19.4
West Virginia,9/14/20,26.2
Wisconsin,9/14/20,24
Wyoming,9/14/20,18.1
Alabama,9/28/20,25.9
Alaska,9/28/20,17.1
Arizona,9/28/20,19
Arkansas,9/28/20,20.3
California,9/28/20,16.2
Colorado,9/28/20,21.8
Connecticut,9/28/20,22.4
Delaware,9/28/20,18.8
District of Columbia,9/28/20,19.1
Florida,9/28/20,19.6
Georgia,9/28/20,19.9
Hawaii,9/28/20,10.1
Idaho,9/28/20,21.8
Illinois,9/28/20,19.3
Indiana,9/28/20,22.5
Iowa,9/28/20,22.9
Kansas,9/28/20,25
Kentucky,9/28/20,25.5
Louisiana,9/28/20,23.1
Maine,9/28/20,21.5
Maryland,9/28/20,18.8
Massachusetts,9/28/20,22.9
Michigan,9/28/20,19.8
Minnesota,9/28/20,22.9
Mississippi,9/28/20,19.8
Missouri,9/28/20,23
Montana,9/28/20,25.4
Nebraska,9/28/20,19.4
Nevada,9/28/20,17.4
New Hampshire,9/28/20,21.8
New Jersey,9/28/20,17.4
New Mexico,9/28/20,22.7
New York,9/28/20,15.9
North Carolina,9/28/20,20.4
North Dakota,9/28/20,22.6
Ohio,9/28/20,21
Oklahoma,9/28/20,20.7
Oregon,9/28/20,18.2
Pennsylvania,9/28/20,22.6
Rhode Island,9/28/20,22.3
South Carolina,9/28/20,21.3
South Dakota,9/28/20,21.7
Tennessee,9/28/20,24.1
Texas,9/28/20,18.2
Utah,9/28/20,24.2
Vermont,9/28/20,24.2
Virginia,9/28/20,19.1
Washington,9/28/20,20.7
West Virginia,9/28/20,23.5
Wisconsin,9/28/20,18.2
Wyoming,9/28/20,22.3
Alabama,10/12/20,26.7
Alaska,10/12/20,15.5
Arizona,10/12/20,19.2
Arkansas,10/12/20,25
California,10/12/20,15.3
Colorado,10/12/20,18.2
Connecticut,10/12/20,19.2
Delaware,10/12/20,22.7
District of Columbia,10/12/20,14.2
Florida,10/12/20,17.6
Georgia,10/12/20,19.5
Hawaii,10/12/20,13
Idaho,10/12/20,20.8
Illinois,10/12/20,18
Indiana,10/12/20,22.5
Iowa,10/12/20,23.6
Kansas,10/12/20,20.3
Kentucky,10/12/20,25.9
Louisiana,10/12/20,24.3
Maine,10/12/20,24.9
Maryland,10/12/20,20.6
Massachusetts,10/12/20,21.9
Michigan,10/12/20,19.4
Minnesota,10/12/20,20.8
Mississippi,10/12/20,21
Missouri,10/12/20,22.3
Montana,10/12/20,19.3
Nebraska,10/12/20,19
Nevada,10/12/20,16.9
New Hampshire,10/12/20,19
New Jersey,10/12/20,16.7
New Mexico,10/12/20,20.4
New York,10/12/20,18.4
North Carolina,10/12/20,21.9
North Dakota,10/12/20,19.4
Ohio,10/12/20,19.8
Oklahoma,10/12/20,26.2
Oregon,10/12/20,21.2
Pennsylvania,10/12/20,20.1
Rhode Island,10/12/20,25
South Carolina,10/12/20,22.4
South Dakota,10/12/20,20.5
Tennessee,10/12/20,21.5
Texas,10/12/20,17.9
