group,period_end,value
High school diploma or GED,5/5/20,30.6
Bachelor's degree or higher,5/5/20,27
High school diploma or GED,5/12/20,32.8
Bachelor's degree or higher,5/12/20,24.2
High school diploma or GED,5/19/20,30.5
Bachelor's degree or higher,5/19/20,22.7
High school diploma or GED,5/26/20,29.5
Bachelor's degree or higher,5/26/20,23.7
High school diploma or GED,6/2/20,31.4
Bachelor's degree or higher,6/2/20,25.9
High school diploma or GED,6/9/20,31
Bachelor's degree or higher,6/9/20,27.3
High school diploma or GED,6/16/20,32.5
Bachelor's degree or higher,6/16/20,26.6
High school diploma or GED,6/23/20,32.7
Bachelor's degree or higher,6/23/20,26
High school diploma or GED,6/30/20,33.5
Bachelor's degree or higher,6/30/20,26.9
High school diploma or GED,7/7/20,34.9
Bachelor's degree or higher,7/7/20,28.3
High school diploma or GED,7/14/20,34.6
Bachelor's degree or higher,7/14/20,30.6
High school diploma or GED,7/21/20,36.4
Bachelor's degree or higher,7/21/20,32.2
High school diploma or GED,8/31/20,30.1
Bachelor's degree or higher,8/31/20,29.1
High school diploma or GED,9/14/20,30.6
Bachelor's degree or higher,9/14/20,28.5
High school diploma or GED,9/28/20,31.1
Bachelor's degree or higher,9/28/20,30.3
High school diploma or GED,10/12/20,30.8
Bachelor's degree or higher,10/12/20,29.9
High school diploma or GED,10/26/20,31
Bachelor's degree or higher,10/26/20,30.3
High school diploma or GED,11/9/20,35.3
Bachelor's degree or higher,11/9/20,34.5
High school diploma or GED,11/23/20,36.7
Bachelor's degree or higher,11/23/20,33.8
High school diploma or GED,12/7/20,35.2
Bachelor's degree or higher,12/7/20,31.4
High school diploma or GED,12/21/20,38.1
Bachelor's degree or higher,12/21/20,31.5
High school diploma or GED,1/18/21,34.7
Bachelor's degree or higher,1/18/21,32.3
High school diploma or GED,2/1/21,34.9
Bachelor's degree or higher,2/1/21,31.3
High school diploma or GED,2/15/21,32.7
Bachelor's degree or higher,2/15/21,29.9
High school diploma or GED,3/1/21,33.4
Bachelor's degree or higher,3/1/21,28.2
High school diploma or GED,3/15/21,30.4
Bachelor's degree or higher,3/15/21,28
High school diploma or GED,3/29/21,29.7
Bachelor's degree or higher,3/29/21,25.4
High school diploma or GED,4/26/21,28.3
Bachelor's degree or higher,4/26/21,21.9
High school diploma or GED,5/10/21,25.9
Bachelor's degree or higher,5/10/21,21.6
High school diploma or GED,5/24/21,26.6
Bachelor's degree or higher,5/24/21,20.8
High school diploma or GED,6/7/21,26.4
Bachelor's degree or higher,6/7/21,20.2
High school diploma or GED,6/21/21,28.7
Bachelor's degree or higher,6/21/21,20.2
High school diploma or GED,7/5/21,24.1
Bachelor's degree or higher,7/5/21,18.9
High school diploma or GED,8/2/21,27.6
Bachelor's degree or higher,8/2/21,21.2
High school diploma or GED,8/16/21,25.4
Bachelor's degree or higher,8/16/21,23.1
High school diploma or GED,8/30/21,27.7
Bachelor's degree or higher,8/30/21,24.2
High school diploma or GED,9/13/21,29.5
Bachelor's degree or higher,9/13/21,25
High school diploma or GED,9/27/21,27.1
Bachelor's degree or higher,9/27/21,23.5
High school diploma or GED,10/11/21,27
Bachelor's degree or higher,10/11/21,22.9
High school diploma or GED,12/13/21,28.2
Bachelor's degree or higher,12/13/21,22.4
High school diploma or GED,1/10/22,28.2
Bachelor's degree or higher,1/10/22,24.3
High school diploma or GED,2/7/22,26.8
Bachelor's degree or higher,2/7/22,23.7
High school diploma or GED,3/14/22,27.2
Bachelor's degree or higher,3/14/22,23.2
High school diploma or GED,4/11/22,27.1
Bachelor's degree or higher,4/11/22,22
High school diploma or GED,5/9/22,26.8
Bachelor's degree or higher,5/9/22,21.2
High school diploma or GED,6/13/22,30.4
Bachelor's degree or higher,6/13/22,22.7
