group,period_end,value
Male,5/5/20,26.1
Female,5/5/20,35.4
Male,5/12/20,26.7
Female,5/12/20,33.1
Male,5/19/20,24.2
Female,5/19/20,32.1
Male,5/26/20,25.4
Female,5/26/20,33.2
Male,6/2/20,26
Female,6/2/20,35
Male,6/9/20,26.8
Female,6/9/20,35.1
Male,6/16/20,28.1
Female,6/16/20,35
Male,6/23/20,27.4
Female,6/23/20,34.8
Male,6/30/20,29
Female,6/30/20,36.7
Male,7/7/20,30.7
Female,7/7/20,37
Male,7/14/20,31.5
Female,7/14/20,39.4
Male,7/21/20,32.1
Female,7/21/20,39.8
Male,8/31/20,26.4
Female,8/31/20,36.1
Male,9/14/20,27.2
Female,9/14/20,35.5
Male,9/28/20,27.7
Female,9/28/20,37.1
Male,10/12/20,28.1
Female,10/12/20,36.4
Male,10/26/20,27.6
Female,10/26/20,37.6
Male,11/9/20,30.3
Female,11/9/20,41.8
Male,11/23/20,31.1
Female,11/23/20,42.9
Male,12/7/20,31.4
Female,12/7/20,40.5
Male,12/21/20,32.2
Female,12/21/20,41.1
Male,1/18/21,30.7
Female,1/18/21,40.5
Male,2/1/21,32.4
Female,2/1/21,39.5
Male,2/15/21,29.6
Female,2/15/21,37.6
Male,3/1/21,29.6
Female,3/1/21,36.8
Male,3/15/21,27.5
Female,3/15/21,35.1
Male,3/29/21,26.3
Female,3/29/21,33.5
Male,4/26/21,23
Female,4/26/21,31.3
Male,5/10/21,22.5
Female,5/10/21,30.2
Male,5/24/21,22
Female,5/24/21,29.2
Male,6/7/21,22.1
Female,6/7/21,28.5
Male,6/21/21,23.2
Female,6/21/21,28.8
Male,7/5/21,20.2
Female,7/5/21,28.5
Male,8/2/21,23.6
Female,8/2/21,30.1
Male,8/16/21,22.4
Female,8/16/21,30.5
Male,8/30/21,23.4
Female,8/30/21,32
Male,9/13/21,24.5
Female,9/13/21,31.5
Male,9/27/21,24
Female,9/27/21,31.4
Male,10/11/21,22.9
Female,10/11/21,31.3
Male,12/13/21,22.9
Female,12/13/21,29.9
Male,1/10/22,23.8
Female,1/10/22,31.7
Male,2/7/22,22.9
Female,2/7/22,31.2
Male,3/14/22,23.5
Female,3/14/22,30.8
Male,4/11/22,22.9
Female,4/11/22,30.7
Male,5/9/22,22.8
Female,5/9/22,30.4
Male,6/13/22,25
Female,6/13/22,32.6
