group,period_end,value
High school diploma or GED,5/5/20,36.7
Bachelor's degree or higher,5/5/20,30.7
High school diploma or GED,5/12/20,37.8
Bachelor's degree or higher,5/12/20,27.5
High school diploma or GED,5/19/20,37.6
Bachelor's degree or higher,5/19/20,26.4
High school diploma or GED,5/26/20,35.3
Bachelor's degree or higher,5/26/20,27
High school diploma or GED,6/2/20,36.7
Bachelor's degree or higher,6/2/20,29.4
High school diploma or GED,6/9/20,36.8
Bachelor's degree or higher,6/9/20,30.2
High school diploma or GED,6/16/20,37.4
Bachelor's degree or higher,6/16/20,29.4
High school diploma or GED,6/23/20,38.1
Bachelor's degree or higher,6/23/20,29.2
High school diploma or GED,6/30/20,38.7
Bachelor's degree or higher,6/30/20,30.3
High school diploma or GED,7/7/20,40.7
Bachelor's degree or higher,7/7/20,31.7
High school diploma or GED,7/14/20,39.4
Bachelor's degree or higher,7/14/20,34.4
High school diploma or GED,7/21/20,42.2
Bachelor's degree or higher,7/21/20,35.7
High school diploma or GED,8/31/20,36.3
Bachelor's degree or higher,8/31/20,32.4
High school diploma or GED,9/14/20,35.7
Bachelor's degree or higher,9/14/20,31.8
High school diploma or GED,9/28/20,36.7
Bachelor's degree or higher,9/28/20,33.6
High school diploma or GED,10/12/20,37.1
Bachelor's degree or higher,10/12/20,33.3
High school diploma or GED,10/26/20,37.1
Bachelor's degree or higher,10/26/20,33.7
High school diploma or GED,11/9/20,42
Bachelor's degree or higher,11/9/20,37.3
High school diploma or GED,11/23/20,43
Bachelor's degree or higher,11/23/20,37.5
High school diploma or GED,12/7/20,42.3
Bachelor's degree or higher,12/7/20,35
High school diploma or GED,12/21/20,44.7
Bachelor's degree or higher,12/21/20,35.6
High school diploma or GED,1/18/21,41.1
Bachelor's degree or higher,1/18/21,35.9
High school diploma or GED,2/1/21,41.1
Bachelor's degree or higher,2/1/21,35.5
High school diploma or GED,2/15/21,39
Bachelor's degree or higher,2/15/21,33.9
High school diploma or GED,3/1/21,39.7
Bachelor's degree or higher,3/1/21,32.3
High school diploma or GED,3/15/21,37.1
Bachelor's degree or higher,3/15/21,31.7
High school diploma or GED,3/29/21,34.9
Bachelor's degree or higher,3/29/21,29.3
High school diploma or GED,4/26/21,33.2
Bachelor's degree or higher,4/26/21,25.7
High school diploma or GED,5/10/21,30.3
Bachelor's degree or higher,5/10/21,24.7
High school diploma or GED,5/24/21,31.7
Bachelor's degree or higher,5/24/21,23.9
High school diploma or GED,6/7/21,31.7
Bachelor's degree or higher,6/7/21,23.2
High school diploma or GED,6/21/21,33.6
Bachelor's degree or higher,6/21/21,23.1
High school diploma or GED,7/5/21,29.3
Bachelor's degree or higher,7/5/21,21.8
High school diploma or GED,8/2/21,32.9
Bachelor's degree or higher,8/2/21,23.8
High school diploma or GED,8/16/21,30.8
Bachelor's degree or higher,8/16/21,26
High school diploma or GED,8/30/21,32.7
Bachelor's degree or higher,8/30/21,27.1
High school diploma or GED,9/13/21,33.9
Bachelor's degree or higher,9/13/21,27.9
High school diploma or GED,9/27/21,32.2
Bachelor's degree or higher,9/27/21,26.4
High school diploma or GED,10/11/21,31.8
Bachelor's degree or higher,10/11/21,25.9
High school diploma or GED,12/13/21,32.8
Bachelor's degree or higher,12/13/21,25.3
High school diploma or GED,1/10/22,32.7
Bachelor's degree or higher,1/10/22,27.4
High school diploma or GED,2/7/22,31.6
Bachelor's degree or higher,2/7/22,27.4
High school diploma or GED,3/14/22,32.1
Bachelor's degree or higher,3/14/22,26
High school diploma or GED,4/11/22,31.5
Bachelor's degree or higher,4/11/22,24.5
High school diploma or GED,5/9/22,31.5
Bachelor's degree or higher,5/9/22,23.9
High school diploma or GED,6/13/22,35.1
Bachelor's degree or higher,6/13/22,25.6
