group,period_end,value
Male,5/5/20,31
Female,5/5/20,40.7
Male,5/12/20,31.4
Female,5/12/20,37.2
Male,5/19/20,29.9
Female,5/19/20,37.6
Male,5/26/20,30.3
Female,5/26/20,38.1
Male,6/2/20,31.1
Female,6/2/20,39.6
Male,6/9/20,31.9
Female,6/9/20,40
Male,6/16/20,32.7
Female,6/16/20,39.1
Male,6/23/20,32.4
Female,6/23/20,39.6
Male,6/30/20,33.8
Female,6/30/20,41.5
Male,7/7/20,36.5
Female,7/7/20,41.3
Male,7/14/20,36.1
Female,7/14/20,44.2
Male,7/21/20,37
Female,7/21/20,44.6
Male,8/31/20,31.8
Female,8/31/20,40.7
Male,9/14/20,32.1
Female,9/14/20,39.9
Male,9/28/20,32.7
Female,9/28/20,41.4
Male,10/12/20,33.1
Female,10/12/20,41.6
Male,10/26/20,32.9
Female,10/26/20,42.4
Male,11/9/20,36.1
Female,11/9/20,46.2
Male,11/23/20,37.2
Female,11/23/20,47.6
Male,12/7/20,36.8
Female,12/7/20,45.7
Male,12/21/20,37.9
Female,12/21/20,46.5
Male,1/18/21,36.4
Female,1/18/21,45.4
Male,2/1/21,38
Female,2/1/21,44.8
Male,2/15/21,35.5
Female,2/15/21,43
Male,3/1/21,35.5
Female,3/1/21,42
Male,3/15/21,33.1
Female,3/15/21,40.5
Male,3/29/21,31.7
Female,3/29/21,38.2
Male,4/26/21,27.9
Female,4/26/21,36.3
Male,5/10/21,26.9
Female,5/10/21,34.3
Male,5/24/21,26.6
Female,5/24/21,33.4
Male,6/7/21,26.6
Female,6/7/21,32.4
Male,6/21/21,27.6
Female,6/21/21,33
Male,7/5/21,24.4
Female,7/5/21,33.1
Male,8/2/21,28.3
Female,8/2/21,34.1
Male,8/16/21,27.3
Female,8/16/21,34.2
Male,8/30/21,28
Female,8/30/21,36
Male,9/13/21,28.8
Female,9/13/21,35.3
Male,9/27/21,28.8
Female,9/27/21,35.3
Male,10/11/21,27.5
Female,10/11/21,35.3
Male,12/13/21,27.5
Female,12/13/21,33.8
Male,1/10/22,28
Female,1/10/22,35.8
Male,2/7/22,27.8
Female,2/7/22,35.1
Male,3/14/22,28.4
Female,3/14/22,34.4
Male,4/11/22,27.3
Female,4/11/22,34.3
Male,5/9/22,27.1
Female,5/9/22,34.3
Male,6/13/22,29.7
Female,6/13/22,35.8
