group,period_end,value
Alabama,5/5/20,30.3
Alaska,5/5/20,31.5
Arizona,5/5/20,36.4
Arkansas,5/5/20,38
California,5/5/20,37.4
Colorado,5/5/20,35.9
Connecticut,5/5/20,40.2
Delaware,5/5/20,34.7
District of Columbia,5/5/20,37.6
Florida,5/5/20,36.8
Georgia,5/5/20,36.2
Hawaii,5/5/20,37
Idaho,5/5/20,33.3
Illinois,5/5/20,36.6
Indiana,5/5/20,37.8
Iowa,5/5/20,28.2
Kansas,5/5/20,32.5
Kentucky,5/5/20,36.4
Louisiana,5/5/20,38.9
Maine,5/5/20,34.3
Maryland,5/5/20,32.9
Massachusetts,5/5/20,40.6
Michigan,5/5/20,39.4
Minnesota,5/5/20,32.4
Mississippi,5/5/20,34.5
Missouri,5/5/20,35.2
Montana,5/5/20,27.3
Nebraska,5/5/20,28.6
Nevada,5/5/20,34.8
New Hampshire,5/5/20,34.8
New Jersey,5/5/20,37.6
New Mexico,5/5/20,34.6
New York,5/5/20,41.4
North Carolina,5/5/20,34.6
North Dakota,5/5/20,27.7
Ohio,5/5/20,35.1
Oklahoma,5/5/20,34.1
Oregon,5/5/20,36.8
Pennsylvania,5/5/20,35.1
Rhode Island,5/5/20,34.4
South Carolina,5/5/20,33.3
South Dakota,5/5/20,25.6
Tennessee,5/5/20,33.4
Texas,5/5/20,34.9
Utah,5/5/20,34.7
Vermont,5/5/20,33.9
Virginia,5/5/20,33.7
Washington,5/5/20,35
West Virginia,5/5/20,34.3
Wisconsin,5/5/20,31.1
Wyoming,5/5/20,31
Alabama,5/12/20,30.6
Alaska,5/12/20,35.7
Arizona,5/12/20,38.4
Arkansas,5/12/20,33
California,5/12/20,34.4
Colorado,5/12/20,32.2
Connecticut,5/12/20,36
Delaware,5/12/20,31.6
District of Columbia,5/12/20,40.6
Florida,5/12/20,33.6
Georgia,5/12/20,34.3
Hawaii,5/12/20,27.1
Idaho,5/12/20,29.2
Illinois,5/12/20,41.8
Indiana,5/12/20,34.9
Iowa,5/12/20,26.1
Kansas,5/12/20,28
Kentucky,5/12/20,37.7
Louisiana,5/12/20,42.8
Maine,5/12/20,32.9
Maryland,5/12/20,34.6
Massachusetts,5/12/20,31
Michigan,5/12/20,33.4
Minnesota,5/12/20,27.2
Mississippi,5/12/20,48.4
Missouri,5/12/20,41.3
Montana,5/12/20,27.6
Nebraska,5/12/20,33.4
Nevada,5/12/20,38.1
New Hampshire,5/12/20,35
New Jersey,5/12/20,39.6
New Mexico,5/12/20,39.8
New York,5/12/20,36.9
