group,period_end,value
Hispanic or Latino,5/5/20,36.3
"Non-Hispanic White, single race",5/5/20,29
"Non-Hispanic Black, single race",5/5/20,32.8
"Non-Hispanic Asian, single race",5/5/20,26.3
"Non-Hispanic, other races and multiple races",5/5/20,38.2
Hispanic or Latino,5/12/20,36.2
"Non-Hispanic White, single race",5/12/20,27.8
"Non-Hispanic Black, single race",5/12/20,33
"Non-Hispanic Asian, single race",5/12/20,26.3
"Non-Hispanic, other races and multiple races",5/12/20,38.9
Hispanic or Latino,5/19/20,33.6
"Non-Hispanic White, single race",5/19/20,26.3
"Non-Hispanic Black, single race",5/19/20,32.7
"Non-Hispanic Asian, single race",5/19/20,23.4
"Non-Hispanic, other races and multiple races",5/19/20,31.3
Hispanic or Latino,5/26/20,36.3
"Non-Hispanic White, single race",5/26/20,27.6
"Non-Hispanic Black, single race",5/26/20,30.2
"Non-Hispanic Asian, single race",5/26/20,22.2
"Non-Hispanic, other races and multiple races",5/26/20,38.6
Hispanic or Latino,6/2/20,32.1
"Non-Hispanic White, single race",6/2/20,29
"Non-Hispanic Black, single race",6/2/20,33.8
"Non-Hispanic Asian, single race",6/2/20,28.4
"Non-Hispanic, other races and multiple races",6/2/20,44.6
Hispanic or Latino,6/9/20,34
"Non-Hispanic White, single race",6/9/20,29.6
"Non-Hispanic Black, single race",6/9/20,34.6
"Non-Hispanic Asian, single race",6/9/20,25.6
"Non-Hispanic, other races and multiple races",6/9/20,40.4
Hispanic or Latino,6/16/20,33.6
"Non-Hispanic White, single race",6/16/20,30.6
"Non-Hispanic Black, single race",6/16/20,35.8
"Non-Hispanic Asian, single race",6/16/20,26
"Non-Hispanic, other races and multiple races",6/16/20,37.6
Hispanic or Latino,6/23/20,36.5
"Non-Hispanic White, single race",6/23/20,29.8
"Non-Hispanic Black, single race",6/23/20,32.6
"Non-Hispanic Asian, single race",6/23/20,23
"Non-Hispanic, other races and multiple races",6/23/20,39.7
Hispanic or Latino,6/30/20,37
