group,period_end,value
Alabama,5/5/20,25.6
Alaska,5/5/20,27.7
Arizona,5/5/20,32.3
Arkansas,5/5/20,33.7
California,5/5/20,30.8
Colorado,5/5/20,32.6
Connecticut,5/5/20,34.9
Delaware,5/5/20,29.9
District of Columbia,5/5/20,31.4
Florida,5/5/20,32.6
Georgia,5/5/20,31.9
Hawaii,5/5/20,32.3
Idaho,5/5/20,26.9
Illinois,5/5/20,31.1
Indiana,5/5/20,31.8
Iowa,5/5/20,22.5
Kansas,5/5/20,26.4
Kentucky,5/5/20,31.6
Louisiana,5/5/20,34.4
Maine,5/5/20,29.5
Maryland,5/5/20,27.7
Massachusetts,5/5/20,37
Michigan,5/5/20,32.5
Minnesota,5/5/20,28.5
Mississippi,5/5/20,30.3
Missouri,5/5/20,30.4
Montana,5/5/20,22.8
Nebraska,5/5/20,24.2
Nevada,5/5/20,31.4
New Hampshire,5/5/20,31.3
New Jersey,5/5/20,31.4
New Mexico,5/5/20,27.9
New York,5/5/20,36.1
North Carolina,5/5/20,30
North Dakota,5/5/20,21.7
Ohio,5/5/20,31.1
Oklahoma,5/5/20,28.6
Oregon,5/5/20,31.5
Pennsylvania,5/5/20,31
Rhode Island,5/5/20,27.6
South Carolina,5/5/20,27.8
South Dakota,5/5/20,22.1
Tennessee,5/5/20,28.2
Texas,5/5/20,29.7
Utah,5/5/20,28.9
Vermont,5/5/20,30.6
Virginia,5/5/20,28.5
Washington,5/5/20,30.6
West Virginia,5/5/20,28.8
Wisconsin,5/5/20,27.1
Wyoming,5/5/20,24.9
Alabama,5/12/20,27.2
Alaska,5/12/20,27.4
Arizona,5/12/20,34.2
Arkansas,5/12/20,29.1
California,5/12/20,31.4
Colorado,5/12/20,29.7
Connecticut,5/12/20,29.1
Delaware,5/12/20,24.9
District of Columbia,5/12/20,36.2
Florida,5/12/20,27.6
Georgia,5/12/20,29.5
Hawaii,5/12/20,20.4
Idaho,5/12/20,25
Illinois,5/12/20,35.7
Indiana,5/12/20,31.5
Iowa,5/12/20,20.3
Kansas,5/12/20,25.1
Kentucky,5/12/20,29.6
Louisiana,5/12/20,34.6
Maine,5/12/20,28.9
Maryland,5/12/20,30.1
Massachusetts,5/12/20,28.7
Michigan,5/12/20,27
Minnesota,5/12/20,22.9
Mississippi,5/12/20,38.3
Missouri,5/12/20,37.8
Montana,5/12/20,24.9
Nebraska,5/12/20,29.6
Nevada,5/12/20,34
New Hampshire,5/12/20,30.4
New Jersey,5/12/20,36.3
New Mexico,5/12/20,30.2
New York,5/12/20,33
North Carolina,5/12/20,25.9
North Dakota,5/12/20,25.4
Ohio,5/12/20,26.4
Oklahoma,5/12/20,27.2
Oregon,5/12/20,26.2
Pennsylvania,5/12/20,28.4
Rhode Island,5/12/20,26.9
South Carolina,5/12/20,27.9
South Dakota,5/12/20,26.1
Tennessee,5/12/20,29.6
Texas,5/12/20,32.4
Utah,5/12/20,26
Vermont,5/12/20,31.8
Virginia,5/12/20,26.8
Washington,5/12/20,28.5
West Virginia,5/12/20,34.6
Wisconsin,5/12/20,25.6
Wyoming,5/12/20,22.5
Alabama,5/19/20,20.7
Alaska,5/19/20,26.2
Arizona,5/19/20,29
Arkansas,5/19/20,28.7
California,5/19/20,32.3
Colorado,5/19/20,27.6
Connecticut,5/19/20,28.7
Delaware,5/19/20,26.6
District of Columbia,5/19/20,33.3
Florida,5/19/20,28.2
Georgia,5/19/20,27.6
Hawaii,5/19/20,24.1
Idaho,5/19/20,24
Illinois,5/19/20,28.5
Indiana,5/19/20,32.6
Iowa,5/19/20,19
Kansas,5/19/20,26.7
Kentucky,5/19/20,27.7
Louisiana,5/19/20,27.9
Maine,5/19/20,30.6
Maryland,5/19/20,28.3
Massachusetts,5/19/20,27.4
Michigan,5/19/20,28.5
Minnesota,5/19/20,27.1
Mississippi,5/19/20,36.1
Missouri,5/19/20,30.4
Montana,5/19/20,25.7
Nebraska,5/19/20,23.3
Nevada,5/19/20,29
New Hampshire,5/19/20,25.2
New Jersey,5/19/20,34.4
New Mexico,5/19/20,29.6
New York,5/19/20,26.8
North Carolina,5/19/20,28.4
North Dakota,5/19/20,26.2
Ohio,5/19/20,26.2
Oklahoma,5/19/20,25.2
Oregon,5/19/20,24.2
Pennsylvania,5/19/20,25.8
Rhode Island,5/19/20,23.9
South Carolina,5/19/20,28.5
South Dakota,5/19/20,22.3
Tennessee,5/19/20,24.8
Texas,5/19/20,28.8
Utah,5/19/20,26.1
Vermont,5/19/20,25.8
Virginia,5/19/20,26.8
Washington,5/19/20,28.9
West Virginia,5/19/20,29.3
Wisconsin,5/19/20,23.4
Wyoming,5/19/20,24.1
Alabama,5/26/20,25.2
Alaska,5/26/20,31.6
Arizona,5/26/20,29.3
Arkansas,5/26/20,28.6
California,5/26/20,30.4
Colorado,5/26/20,28.8
Connecticut,5/26/20,24.7
Delaware,5/26/20,24.2
District of Columbia,5/26/20,29.9
Florida,5/26/20,34.1
Georgia,5/26/20,32.6
Hawaii,5/26/20,19.6
Idaho,5/26/20,22.1
Illinois,5/26/20,30.3
Indiana,5/26/20,30.5
Iowa,5/26/20,20.6
Kansas,5/26/20,30.1
Kentucky,5/26/20,30.8
Louisiana,5/26/20,36
Maine,5/26/20,24.5
Maryland,5/26/20,25.8
Massachusetts,5/26/20,25.5
Michigan,5/26/20,27.5
Minnesota,5/26/20,22.8
Mississippi,5/26/20,31.9
Missouri,5/26/20,29
Montana,5/26/20,24.3
Nebraska,5/26/20,22.6
Nevada,5/26/20,35.6
New Hampshire,5/26/20,24.6
New Jersey,5/26/20,26.2
New Mexico,5/26/20,35.4
New York,5/26/20,30.6
North Carolina,5/26/20,27.5
North Dakota,5/26/20,22.1
Ohio,5/26/20,29.8
Oklahoma,5/26/20,27.3
Oregon,5/26/20,32.1
Pennsylvania,5/26/20,28
Rhode Island,5/26/20,30.6
South Carolina,5/26/20,27
South Dakota,5/26/20,30.4
Tennessee,5/26/20,29.6
Texas,5/26/20,32.6
Utah,5/26/20,25.5
Vermont,5/26/20,23.3
Virginia,5/26/20,28.7
Washington,5/26/20,26.8
West Virginia,5/26/20,34.5
Wisconsin,5/26/20,24.7
Wyoming,5/26/20,24
Alabama,6/2/20,31.6
Alaska,6/2/20,26.1
Arizona,6/2/20,27.9
Arkansas,6/2/20,35.3
California,6/2/20,33.8
Colorado,6/2/20,29.4
Connecticut,6/2/20,26.7
Delaware,6/2/20,26.2
District of Columbia,6/2/20,28.2
Florida,6/2/20,33.8
Georgia,6/2/20,31.7
Hawaii,6/2/20,20.7
Idaho,6/2/20,28.3
Illinois,6/2/20,31.3
Indiana,6/2/20,31.5
Iowa,6/2/20,27.8
Kansas,6/2/20,28.3
Kentucky,6/2/20,33.3
Louisiana,6/2/20,31
Maine,6/2/20,25.2
Maryland,6/2/20,26.1
Massachusetts,6/2/20,26.7
Michigan,6/2/20,29
Minnesota,6/2/20,27.5
Mississippi,6/2/20,33.8
Missouri,6/2/20,30.1
Montana,6/2/20,22.6
Nebraska,6/2/20,22.2
Nevada,6/2/20,30.3
New Hampshire,6/2/20,26.7
New Jersey,6/2/20,31.8
New Mexico,6/2/20,37.1
New York,6/2/20,29.8
North Carolina,6/2/20,29.6
North Dakota,6/2/20,18.4
Ohio,6/2/20,29.6
Oklahoma,6/2/20,31.7
Oregon,6/2/20,35.3
Pennsylvania,6/2/20,31.4
Rhode Island,6/2/20,30.8
South Carolina,6/2/20,29.2
South Dakota,6/2/20,26.3
Tennessee,6/2/20,30.4
Texas,6/2/20,31.1
Utah,6/2/20,29.7
Vermont,6/2/20,31.8
Virginia,6/2/20,28.3
Washington,6/2/20,31.7
West Virginia,6/2/20,33.6
Wisconsin,6/2/20,22.7
Wyoming,6/2/20,25.3
Alabama,6/9/20,33.7
Alaska,6/9/20,26.2
Arizona,6/9/20,30.8
Arkansas,6/9/20,31.6
California,6/9/20,33.7
Colorado,6/9/20,30.9
Connecticut,6/9/20,27.7
Delaware,6/9/20,28.5
District of Columbia,6/9/20,33
Florida,6/9/20,34.8
Georgia,6/9/20,32.7
Hawaii,6/9/20,20.7
Idaho,6/9/20,28.6
Illinois,6/9/20,34.2
Indiana,6/9/20,28.7
Iowa,6/9/20,31.9
Kansas,6/9/20,29.9
Kentucky,6/9/20,33
Louisiana,6/9/20,32.5
Maine,6/9/20,31.5
Maryland,6/9/20,22.8
Massachusetts,6/9/20,26.1
Michigan,6/9/20,24.6
Minnesota,6/9/20,27.5
Mississippi,6/9/20,31.9
Missouri,6/9/20,23.2
Montana,6/9/20,26.4
Nebraska,6/9/20,23.5
Nevada,6/9/20,33.3
New Hampshire,6/9/20,31.7
New Jersey,6/9/20,30.7
New Mexico,6/9/20,28.6
