group,period_end,value
High school diploma or GED,5/5/20,25.4
Bachelor's degree or higher,5/5/20,17.6
High school diploma or GED,5/12/20,27.1
Bachelor's degree or higher,5/12/20,17.2
High school diploma or GED,5/19/20,27.8
Bachelor's degree or higher,5/19/20,17.3
High school diploma or GED,5/26/20,26.6
Bachelor's degree or higher,5/26/20,17.3
High school diploma or GED,6/2/20,27.8
Bachelor's degree or higher,6/2/20,18.6
High school diploma or GED,6/9/20,27.6
Bachelor's degree or higher,6/9/20,18.9
High school diploma or GED,6/16/20,27.5
Bachelor's degree or higher,6/16/20,17.9
High school diploma or GED,6/23/20,28.8
Bachelor's degree or higher,6/23/20,18.2
High school diploma or GED,6/30/20,28.7
Bachelor's degree or higher,6/30/20,19.4
High school diploma or GED,7/7/20,29.1
Bachelor's degree or higher,7/7/20,19.9
High school diploma or GED,7/14/20,28.6
Bachelor's degree or higher,7/14/20,21.6
High school diploma or GED,7/21/20,31.4
Bachelor's degree or higher,7/21/20,22.2
High school diploma or GED,8/31/20,27
Bachelor's degree or higher,8/31/20,18.6
High school diploma or GED,9/14/20,25.7
Bachelor's degree or higher,9/14/20,18.4
High school diploma or GED,9/28/20,25.7
Bachelor's degree or higher,9/28/20,19.9
High school diploma or GED,10/12/20,26.9
Bachelor's degree or higher,10/12/20,19.1
High school diploma or GED,10/26/20,27.4
Bachelor's degree or higher,10/26/20,19.8
High school diploma or GED,11/9/20,30.6
Bachelor's degree or higher,11/9/20,20.2
High school diploma or GED,11/23/20,30.3
Bachelor's degree or higher,11/23/20,22
High school diploma or GED,12/7/20,31.5
Bachelor's degree or higher,12/7/20,21.1
High school diploma or GED,12/21/20,33.8
Bachelor's degree or higher,12/21/20,22
High school diploma or GED,1/18/21,30.5
Bachelor's degree or higher,1/18/21,21.1
High school diploma or GED,2/1/21,29.7
Bachelor's degree or higher,2/1/21,21.5
High school diploma or GED,2/15/21,30.1
Bachelor's degree or higher,2/15/21,21.5
High school diploma or GED,3/1/21,30
Bachelor's degree or higher,3/1/21,20.6
High school diploma or GED,3/15/21,28
Bachelor's degree or higher,3/15/21,19.8
High school diploma or GED,3/29/21,25.2
Bachelor's degree or higher,3/29/21,18.2
High school diploma or GED,4/26/21,24.9
Bachelor's degree or higher,4/26/21,16.2
High school diploma or GED,5/10/21,22.7
Bachelor's degree or higher,5/10/21,15.5
High school diploma or GED,5/24/21,23.7
Bachelor's degree or higher,5/24/21,15.2
High school diploma or GED,6/7/21,23.7
Bachelor's degree or higher,6/7/21,14.5
High school diploma or GED,6/21/21,25
Bachelor's degree or higher,6/21/21,14.2
High school diploma or GED,7/5/21,22.7
Bachelor's degree or higher,7/5/21,13.4
High school diploma or GED,8/2/21,24.5
Bachelor's degree or higher,8/2/21,14.6
High school diploma or GED,8/16/21,24
Bachelor's degree or higher,8/16/21,15
High school diploma or GED,8/30/21,24.9
Bachelor's degree or higher,8/30/21,16.3
High school diploma or GED,9/13/21,25
Bachelor's degree or higher,9/13/21,16.6
High school diploma or GED,9/27/21,23.7
Bachelor's degree or higher,9/27/21,15.7
High school diploma or GED,10/11/21,23.1
Bachelor's degree or higher,10/11/21,15.6
High school diploma or GED,12/13/21,23.6
Bachelor's degree or higher,12/13/21,15.7
High school diploma or GED,1/10/22,24.4
Bachelor's degree or higher,1/10/22,17.2
High school diploma or GED,2/7/22,23.1
Bachelor's degree or higher,2/7/22,17.8
High school diploma or GED,3/14/22,22.9
Bachelor's degree or higher,3/14/22,15.3
High school diploma or GED,4/11/22,23.4
Bachelor's degree or higher,4/11/22,14.8
High school diploma or GED,5/9/22,24.2
Bachelor's degree or higher,5/9/22,14.8
High school diploma or GED,6/13/22,25.3
Bachelor's degree or higher,6/13/22,14.8
