group,period_end,value
Male,5/5/20,20.8
Female,5/5/20,26.1
Male,5/12/20,22.3
Female,5/12/20,25.8
Male,5/19/20,22.1
Female,5/19/20,26.7
Male,5/26/20,22.7
Female,5/26/20,26.9
Male,6/2/20,23
Female,6/2/20,27.4
Male,6/9/20,23.7
Female,6/9/20,27.8
Male,6/16/20,23.3
Female,6/16/20,26.7
Male,6/23/20,23.8
Female,6/23/20,27.3
Male,6/30/20,25
Female,6/30/20,28.8
Male,7/7/20,26.6
Female,7/7/20,28.6
Male,7/14/20,26
Female,7/14/20,30
Male,7/21/20,27.8
Female,7/21/20,31.3
Male,8/31/20,22.5
Female,8/31/20,26.4
Male,9/14/20,22.8
Female,9/14/20,26
Male,9/28/20,22.7
Female,9/28/20,27.2
Male,10/12/20,23.5
Female,10/12/20,27.2
Male,10/26/20,23.7
Female,10/26/20,28.1
Male,11/9/20,25.4
Female,11/9/20,29.7
Male,11/23/20,25.7
Female,11/23/20,31.3
Male,12/7/20,26.7
Female,12/7/20,30.9
Male,12/21/20,27.9
Female,12/21/20,32.3
Male,1/18/21,25.9
Female,1/18/21,30.6
Male,2/1/21,26.3
Female,2/1/21,30.4
Male,2/15/21,26.1
Female,2/15/21,29.9
Male,3/1/21,26.7
Female,3/1/21,28.7
Male,3/15/21,24.2
Female,3/15/21,28.4
Male,3/29/21,23.2
Female,3/29/21,26
Male,4/26/21,20.5
Female,4/26/21,25.2
Male,5/10/21,20.1
Female,5/10/21,23.6
Male,5/24/21,19.7
Female,5/24/21,23.3
Male,6/7/21,19.3
Female,6/7/21,22.4
Male,6/21/21,20.1
Female,6/21/21,23
Male,7/5/21,18.4
Female,7/5/21,23.1
Male,8/2/21,21.1
Female,8/2/21,23.1
Male,8/16/21,19.6
Female,8/16/21,23
Male,8/30/21,20.7
Female,8/30/21,24.4
Male,9/13/21,21.2
Female,9/13/21,23.6
Male,9/27/21,21.2
Female,9/27/21,23.4
Male,10/11/21,19.7
Female,10/11/21,23.8
Male,12/13/21,20
Female,12/13/21,22.8
Male,1/10/22,20.7
Female,1/10/22,24.8
Male,2/7/22,20.2
Female,2/7/22,24
Male,3/14/22,20.4
Female,3/14/22,22.9
Male,4/11/22,19.9
Female,4/11/22,23.4
Male,5/9/22,20.5
Female,5/9/22,23.4
Male,6/13/22,20.9
Female,6/13/22,23.9
