group,period_end,value
Hispanic or Latino,5/5/20,29.4
"Non-Hispanic White, single race",5/5/20,21.4
"Non-Hispanic Black, single race",5/5/20,25.6
"Non-Hispanic Asian, single race",5/5/20,23.6
"Non-Hispanic, other races and multiple races",5/5/20,28.3
Hispanic or Latino,5/12/20,27.9
"Non-Hispanic White, single race",5/12/20,22.5
"Non-Hispanic Black, single race",5/12/20,27.7
"Non-Hispanic Asian, single race",5/12/20,19.5
"Non-Hispanic, other races and multiple races",5/12/20,33
Hispanic or Latino,5/19/20,28.9
"Non-Hispanic White, single race",5/19/20,22.7
"Non-Hispanic Black, single race",5/19/20,28.5
"Non-Hispanic Asian, single race",5/19/20,20.9
"Non-Hispanic, other races and multiple races",5/19/20,27.1
Hispanic or Latino,5/26/20,31.4
"Non-Hispanic White, single race",5/26/20,23.3
"Non-Hispanic Black, single race",5/26/20,24.8
"Non-Hispanic Asian, single race",5/26/20,19.5
"Non-Hispanic, other races and multiple races",5/26/20,32.2
Hispanic or Latino,6/2/20,26.3
"Non-Hispanic White, single race",6/2/20,23.7
"Non-Hispanic Black, single race",6/2/20,29.9
"Non-Hispanic Asian, single race",6/2/20,22
"Non-Hispanic, other races and multiple races",6/2/20,37.6
Hispanic or Latino,6/9/20,30.8
"Non-Hispanic White, single race",6/9/20,23.9
"Non-Hispanic Black, single race",6/9/20,29.6
"Non-Hispanic Asian, single race",6/9/20,19.8
"Non-Hispanic, other races and multiple races",6/9/20,33.9
Hispanic or Latino,6/16/20,28.4
"Non-Hispanic White, single race",6/16/20,23.5
"Non-Hispanic Black, single race",6/16/20,28.3
"Non-Hispanic Asian, single race",6/16/20,21
"Non-Hispanic, other races and multiple races",6/16/20,32.3
Hispanic or Latino,6/23/20,29
"Non-Hispanic White, single race",6/23/20,24.2
"Non-Hispanic Black, single race",6/23/20,28.1
"Non-Hispanic Asian, single race",6/23/20,20.1
"Non-Hispanic, other races and multiple races",6/23/20,34.1
Hispanic or Latino,6/30/20,31.1
"Non-Hispanic White, single race",6/30/20,24.9
"Non-Hispanic Black, single race",6/30/20,30.9
"Non-Hispanic Asian, single race",6/30/20,21.5
"Non-Hispanic, other races and multiple races",6/30/20,36.8
Hispanic or Latino,7/7/20,30.9
"Non-Hispanic White, single race",7/7/20,26
"Non-Hispanic Black, single race",7/7/20,29.9
"Non-Hispanic Asian, single race",7/7/20,25
"Non-Hispanic, other races and multiple races",7/7/20,35.6
Hispanic or Latino,7/14/20,31
"Non-Hispanic White, single race",7/14/20,26.6
"Non-Hispanic Black, single race",7/14/20,30
"Non-Hispanic Asian, single race",7/14/20,26.4
"Non-Hispanic, other races and multiple races",7/14/20,36.1
Hispanic or Latino,7/21/20,34.2
"Non-Hispanic White, single race",7/21/20,27.7
"Non-Hispanic Black, single race",7/21/20,32.1
"Non-Hispanic Asian, single race",7/21/20,30.5
"Non-Hispanic, other races and multiple races",7/21/20,33
Hispanic or Latino,8/31/20,28.5
"Non-Hispanic White, single race",8/31/20,23.2
"Non-Hispanic Black, single race",8/31/20,26.2
"Non-Hispanic Asian, single race",8/31/20,20.8
"Non-Hispanic, other races and multiple races",8/31/20,30.3
Hispanic or Latino,9/14/20,28.9
"Non-Hispanic White, single race",9/14/20,22.7
