group,period_end,value
Alabama,5/5/20,18.6
Alaska,5/5/20,19.2
Arizona,5/5/20,22.4
Arkansas,5/5/20,26.6
California,5/5/20,25.4
Colorado,5/5/20,22
Connecticut,5/5/20,24.4
Delaware,5/5/20,21.1
District of Columbia,5/5/20,26.4
Florida,5/5/20,22.5
Georgia,5/5/20,25.6
Hawaii,5/5/20,20
Idaho,5/5/20,20.6
Illinois,5/5/20,23.3
Indiana,5/5/20,26.4
Iowa,5/5/20,16.5
Kansas,5/5/20,22.1
Kentucky,5/5/20,23.2
Louisiana,5/5/20,28.1
Maine,5/5/20,19.5
Maryland,5/5/20,20.9
Massachusetts,5/5/20,25.9
Michigan,5/5/20,25.5
Minnesota,5/5/20,20.4
Mississippi,5/5/20,22.9
Missouri,5/5/20,21
Montana,5/5/20,18.2
Nebraska,5/5/20,19.1
Nevada,5/5/20,23.6
New Hampshire,5/5/20,19.5
New Jersey,5/5/20,23.6
New Mexico,5/5/20,22.4
New York,5/5/20,28.7
North Carolina,5/5/20,21.1
North Dakota,5/5/20,17
Ohio,5/5/20,21.2
Oklahoma,5/5/20,20.8
Oregon,5/5/20,22.5
Pennsylvania,5/5/20,24.7
Rhode Island,5/5/20,24.5
South Carolina,5/5/20,21.6
South Dakota,5/5/20,17.5
Tennessee,5/5/20,22.2
Texas,5/5/20,24.4
Utah,5/5/20,22.9
Vermont,5/5/20,20.7
Virginia,5/5/20,21.5
Washington,5/5/20,22.1
West Virginia,5/5/20,23.4
Wisconsin,5/5/20,22
Wyoming,5/5/20,18.9
Alabama,5/12/20,22.5
Alaska,5/12/20,25.1
Arizona,5/12/20,25.3
Arkansas,5/12/20,24.5
California,5/12/20,22.8
Colorado,5/12/20,23.6
Connecticut,5/12/20,21.5
Delaware,5/12/20,23.3
District of Columbia,5/12/20,30.3
Florida,5/12/20,24.8
Georgia,5/12/20,25.6
Hawaii,5/12/20,16.8
Idaho,5/12/20,17
Illinois,5/12/20,29.2
Indiana,5/12/20,19.9
Iowa,5/12/20,18.1
Kansas,5/12/20,16.7
Kentucky,5/12/20,25.6
Louisiana,5/12/20,30
Maine,5/12/20,17.1
Maryland,5/12/20,24.6
Massachusetts,5/12/20,18.9
Michigan,5/12/20,23.4
Minnesota,5/12/20,18.4
Mississippi,5/12/20,35.5
Missouri,5/12/20,24.1
Montana,5/12/20,20.8
Nebraska,5/12/20,21.6
Nevada,5/12/20,31.2
New Hampshire,5/12/20,23.3
New Jersey,5/12/20,26.4
New Mexico,5/12/20,29
New York,5/12/20,29.2
North Carolina,5/12/20,20.2
North Dakota,5/12/20,20.2
Ohio,5/12/20,26.4
Oklahoma,5/12/20,20.7
Oregon,5/12/20,17.8
Pennsylvania,5/12/20,23
Rhode Island,5/12/20,22.8
South Carolina,5/12/20,25.6
South Dakota,5/12/20,20.5
Tennessee,5/12/20,21.7
Texas,5/12/20,25.7
Utah,5/12/20,22.6
Vermont,5/12/20,26.8
Virginia,5/12/20,20.6
Washington,5/12/20,22.9
West Virginia,5/12/20,31.8
Wisconsin,5/12/20,22.9
Wyoming,5/12/20,18.6
Alabama,5/19/20,19.6
Alaska,5/19/20,23.6
Arizona,5/19/20,20
Arkansas,5/19/20,28.9
California,5/19/20,28.7
Colorado,5/19/20,23.7
Connecticut,5/19/20,20.2
Delaware,5/19/20,21.8
District of Columbia,5/19/20,25.9
Florida,5/19/20,24.3
Georgia,5/19/20,24.8
Hawaii,5/19/20,21.3
Idaho,5/19/20,18.1
Illinois,5/19/20,24.3
Indiana,5/19/20,24.5
Iowa,5/19/20,18.6
Kansas,5/19/20,21.2
Kentucky,5/19/20,22.8
Louisiana,5/19/20,26.5
Maine,5/19/20,25.6
Maryland,5/19/20,20.8
Massachusetts,5/19/20,22.8
Michigan,5/19/20,27.9
Minnesota,5/19/20,20
Mississippi,5/19/20,36.4
Missouri,5/19/20,24.3
Montana,5/19/20,21.1
Nebraska,5/19/20,20.4
Nevada,5/19/20,26.9
New Hampshire,5/19/20,20.3
New Jersey,5/19/20,26.9
New Mexico,5/19/20,28.4
New York,5/19/20,23.8
North Carolina,5/19/20,22.6
North Dakota,5/19/20,22.5
Ohio,5/19/20,27
Oklahoma,5/19/20,25.7
Oregon,5/19/20,22.7
Pennsylvania,5/19/20,19.8
Rhode Island,5/19/20,18.8
South Carolina,5/19/20,25.3
South Dakota,5/19/20,22.7
Tennessee,5/19/20,25.6
Texas,5/19/20,24.9
Utah,5/19/20,21.2
Vermont,5/19/20,19
Virginia,5/19/20,25.4
Washington,5/19/20,23.2
West Virginia,5/19/20,27
Wisconsin,5/19/20,20.3
Wyoming,5/19/20,20.7
Alabama,5/26/20,20.9
Alaska,5/26/20,26.8
Arizona,5/26/20,25.1
Arkansas,5/26/20,23.8
California,5/26/20,26.9
Colorado,5/26/20,25.5
Connecticut,5/26/20,21
Delaware,5/26/20,22.7
District of Columbia,5/26/20,20.9
Florida,5/26/20,28.6
Georgia,5/26/20,27.7
Hawaii,5/26/20,18.5
Idaho,5/26/20,18.9
Illinois,5/26/20,24.2
Indiana,5/26/20,24.8
Iowa,5/26/20,17.6
Kansas,5/26/20,25.2
Kentucky,5/26/20,23.2
Louisiana,5/26/20,31.1
Maine,5/26/20,18.5
Maryland,5/26/20,22.9
Massachusetts,5/26/20,20.3
Michigan,5/26/20,25.1
Minnesota,5/26/20,17.7
Mississippi,5/26/20,27.7
Missouri,5/26/20,24.3
Montana,5/26/20,22.2
Nebraska,5/26/20,17.2
Nevada,5/26/20,27.1
New Hampshire,5/26/20,22.2
New Jersey,5/26/20,22.9
New Mexico,5/26/20,28.7
New York,5/26/20,23.7
North Carolina,5/26/20,22.1
North Dakota,5/26/20,19.8
Ohio,5/26/20,27.4
Oklahoma,5/26/20,27.5
Oregon,5/26/20,24.2
Pennsylvania,5/26/20,25.9
Rhode Island,5/26/20,21.4
South Carolina,5/26/20,21.7
South Dakota,5/26/20,25.8
Tennessee,5/26/20,22.5
Texas,5/26/20,28.8
Utah,5/26/20,24.9
Vermont,5/26/20,19.4
Virginia,5/26/20,22.3
Washington,5/26/20,22.2
West Virginia,5/26/20,22
Wisconsin,5/26/20,20.8
Wyoming,5/26/20,18.8
Alabama,6/2/20,28.4
Alaska,6/2/20,24.4
Arizona,6/2/20,23.9
Arkansas,6/2/20,28.9
California,6/2/20,26.9
Colorado,6/2/20,23.9
Connecticut,6/2/20,25.4
Delaware,6/2/20,20.7
District of Columbia,6/2/20,21.3
Florida,6/2/20,29.6
Georgia,6/2/20,24.5
Hawaii,6/2/20,17
Idaho,6/2/20,23.8
Illinois,6/2/20,26.9
Indiana,6/2/20,25.6
Iowa,6/2/20,22.6
Kansas,6/2/20,23.1
Kentucky,6/2/20,28.5
Louisiana,6/2/20,26.8
Maine,6/2/20,18.5
Maryland,6/2/20,21.9
Massachusetts,6/2/20,20.3
Michigan,6/2/20,25.9
Minnesota,6/2/20,19.1
Mississippi,6/2/20,28.6
Missouri,6/2/20,24.5
Montana,6/2/20,20.5
Nebraska,6/2/20,18.2
Nevada,6/2/20,20.2
New Hampshire,6/2/20,22.6
New Jersey,6/2/20,25.8
New Mexico,6/2/20,24.3
New York,6/2/20,24.5
North Carolina,6/2/20,22.3
North Dakota,6/2/20,19.3
Ohio,6/2/20,28.1
Oklahoma,6/2/20,31.8
Oregon,6/2/20,27.6
Pennsylvania,6/2/20,24.6
Rhode Island,6/2/20,22.3
South Carolina,6/2/20,28.8
South Dakota,6/2/20,20
Tennessee,6/2/20,22.9
Texas,6/2/20,26.2
Utah,6/2/20,22.3
Vermont,6/2/20,23.5
Virginia,6/2/20,21.4
Washington,6/2/20,27.1
West Virginia,6/2/20,26.2
Wisconsin,6/2/20,17.7
Wyoming,6/2/20,25.2
Alabama,6/9/20,27.7
Alaska,6/9/20,21.5
Arizona,6/9/20,26.5
Arkansas,6/9/20,26.5
California,6/9/20,28.6
Colorado,6/9/20,23.9
Connecticut,6/9/20,20.7
Delaware,6/9/20,25.3
District of Columbia,6/9/20,25.9
Florida,6/9/20,30.2
Georgia,6/9/20,25.6
Hawaii,6/9/20,19.5
Idaho,6/9/20,19.2
Illinois,6/9/20,27.9
Indiana,6/9/20,22.2
Iowa,6/9/20,25.7
Kansas,6/9/20,28.6
Kentucky,6/9/20,25.5
Louisiana,6/9/20,28.4
Maine,6/9/20,20.6
Maryland,6/9/20,18.4
Massachusetts,6/9/20,21.8
Michigan,6/9/20,19.1
Minnesota,6/9/20,19.7
Mississippi,6/9/20,29.6
Missouri,6/9/20,23.1
Montana,6/9/20,17.5
Nebraska,6/9/20,21.7
Nevada,6/9/20,27.6
New Hampshire,6/9/20,26.2
New Jersey,6/9/20,21.8
New Mexico,6/9/20,23.7
New York,6/9/20,28.5
North Carolina,6/9/20,21.6
North Dakota,6/9/20,14.7
Ohio,6/9/20,26.4
Oklahoma,6/9/20,24.7
Oregon,6/9/20,27.1
Pennsylvania,6/9/20,24.7
Rhode Island,6/9/20,19
South Carolina,6/9/20,25
South Dakota,6/9/20,21.2
Tennessee,6/9/20,27.2
Texas,6/9/20,30.3
Utah,6/9/20,25.3
Vermont,6/9/20,25.1
Virginia,6/9/20,27.5
Washington,6/9/20,21.4
West Virginia,6/9/20,27.9
Wisconsin,6/9/20,19.5
Wyoming,6/9/20,20.9
Alabama,6/16/20,26.7
Alaska,6/16/20,23.5
Arizona,6/16/20,25
Arkansas,6/16/20,29.6
California,6/16/20,27.2
Colorado,6/16/20,22.1
Connecticut,6/16/20,25.5
Delaware,6/16/20,24.4
District of Columbia,6/16/20,16.3
Florida,6/16/20,28.1
Georgia,6/16/20,25.7
Hawaii,6/16/20,26.8
Idaho,6/16/20,14.3
Illinois,6/16/20,24.8
Indiana,6/16/20,26.6
Iowa,6/16/20,22.4
Kansas,6/16/20,24.6
Kentucky,6/16/20,22.6
Louisiana,6/16/20,34.5
Maine,6/16/20,23.7
Maryland,6/16/20,27.9
Massachusetts,6/16/20,17
Michigan,6/16/20,21.4
Minnesota,6/16/20,19.9
Mississippi,6/16/20,24.8
Missouri,6/16/20,26.1
Montana,6/16/20,21.8
Nebraska,6/16/20,20.3
Nevada,6/16/20,30.4
New Hampshire,6/16/20,21.7
New Jersey,6/16/20,26.9
New Mexico,6/16/20,18.8
New York,6/16/20,23.4
North Carolina,6/16/20,23.9
North Dakota,6/16/20,23.4
Ohio,6/16/20,26.8
Oklahoma,6/16/20,22.5
Oregon,6/16/20,31.1
Pennsylvania,6/16/20,25.5
Rhode Island,6/16/20,24.1
South Carolina,6/16/20,28.1
South Dakota,6/16/20,19.2
Tennessee,6/16/20,21.5
Texas,6/16/20,27.6
Utah,6/16/20,18.5
Vermont,6/16/20,26.2
Virginia,6/16/20,23.3
Washington,6/16/20,22.5
West Virginia,6/16/20,23.5
Wisconsin,6/16/20,17.5
Wyoming,6/16/20,18.9
Alabama,6/23/20,27.5
Alaska,6/23/20,25.7
Arizona,6/23/20,28.9
Arkansas,6/23/20,28.7
California,6/23/20,26.4
Colorado,6/23/20,23
Connecticut,6/23/20,28.7
Delaware,6/23/20,22.9
District of Columbia,6/23/20,31
Florida,6/23/20,28.8
Georgia,6/23/20,27.9
Hawaii,6/23/20,18.3
Idaho,6/23/20,23
Illinois,6/23/20,23.8
Indiana,6/23/20,23.7
Iowa,6/23/20,26.1
Kansas,6/23/20,24.4
