group,period_end,value
18 - 29 years,5/5/20,40.2
30 - 39 years,5/5/20,34.4
40 - 49 years,5/5/20,34.1
50 - 59 years,5/5/20,31
60 - 69 years,5/5/20,24.9
70 - 79 years,5/5/20,16.4
80 years and above,5/5/20,14.6
18 - 29 years,5/12/20,42
30 - 39 years,5/12/20,34.3
40 - 49 years,5/12/20,31.9
50 - 59 years,5/12/20,31.3
60 - 69 years,5/12/20,22
70 - 79 years,5/12/20,16.4
80 years and above,5/12/20,11
18 - 29 years,5/19/20,38.6
30 - 39 years,5/19/20,32.2
40 - 49 years,5/19/20,30.7
50 - 59 years,5/19/20,28.4
60 - 69 years,5/19/20,22.3
70 - 79 years,5/19/20,13.4
80 years and above,5/19/20,11.8
18 - 29 years,5/26/20,39.1
30 - 39 years,5/26/20,35.2
40 - 49 years,5/26/20,31.4
50 - 59 years,5/26/20,29.3
60 - 69 years,5/26/20,22.2
70 - 79 years,5/26/20,15
80 years and above,5/26/20,17.1
18 - 29 years,6/2/20,42.2
30 - 39 years,6/2/20,35.8
40 - 49 years,6/2/20,32.1
50 - 59 years,6/2/20,29.3
60 - 69 years,6/2/20,23
70 - 79 years,6/2/20,18.2
80 years and above,6/2/20,13.3
18 - 29 years,6/9/20,41.7
30 - 39 years,6/9/20,36.8
40 - 49 years,6/9/20,34.9
50 - 59 years,6/9/20,31.8
60 - 69 years,6/9/20,22.3
70 - 79 years,6/9/20,15.4
80 years and above,6/9/20,13.7
18 - 29 years,6/16/20,42.9
30 - 39 years,6/16/20,35.8
40 - 49 years,6/16/20,34.8
50 - 59 years,6/16/20,31.7
60 - 69 years,6/16/20,23.6
70 - 79 years,6/16/20,18
80 years and above,6/16/20,14.6
18 - 29 years,6/23/20,42.8
30 - 39 years,6/23/20,36
40 - 49 years,6/23/20,34
50 - 59 years,6/23/20,32.4
60 - 69 years,6/23/20,23.1
70 - 79 years,6/23/20,14.8
80 years and above,6/23/20,11.4
18 - 29 years,6/30/20,42.4
30 - 39 years,6/30/20,38.9
40 - 49 years,6/30/20,35.4
50 - 59 years,6/30/20,33.9
60 - 69 years,6/30/20,25
70 - 79 years,6/30/20,18.6
80 years and above,6/30/20,16.2
18 - 29 years,7/7/20,44.4
30 - 39 years,7/7/20,40.6
40 - 49 years,7/7/20,36.1
50 - 59 years,7/7/20,33.4
60 - 69 years,7/7/20,26.5
70 - 79 years,7/7/20,18.4
80 years and above,7/7/20,19.3
18 - 29 years,7/14/20,47.7
30 - 39 years,7/14/20,42.9
40 - 49 years,7/14/20,37.7
50 - 59 years,7/14/20,34.7
60 - 69 years,7/14/20,27.8
70 - 79 years,7/14/20,17.8
80 years and above,7/14/20,15.6
18 - 29 years,7/21/20,46.6
30 - 39 years,7/21/20,42.8
40 - 49 years,7/21/20,39.9
50 - 59 years,7/21/20,36.1
60 - 69 years,7/21/20,27.3
70 - 79 years,7/21/20,19.5
80 years and above,7/21/20,13.4
18 - 29 years,8/31/20,41
30 - 39 years,8/31/20,37.7
40 - 49 years,8/31/20,33.1
50 - 59 years,8/31/20,31.1
60 - 69 years,8/31/20,25.2
70 - 79 years,8/31/20,18.2
80 years and above,8/31/20,14.6
18 - 29 years,9/14/20,40.6
30 - 39 years,9/14/20,37.9
40 - 49 years,9/14/20,33.7
50 - 59 years,9/14/20,30.8
60 - 69 years,9/14/20,24.9
70 - 79 years,9/14/20,19.2
80 years and above,9/14/20,17.7
18 - 29 years,9/28/20,42.5
30 - 39 years,9/28/20,39.2
40 - 49 years,9/28/20,34.8
50 - 59 years,9/28/20,31.4
60 - 69 years,9/28/20,26.5
70 - 79 years,9/28/20,19.2
80 years and above,9/28/20,15.3
18 - 29 years,10/12/20,44.7
30 - 39 years,10/12/20,38.1
40 - 49 years,10/12/20,35.3
50 - 59 years,10/12/20,31.1
60 - 69 years,10/12/20,24.8
70 - 79 years,10/12/20,18
