group,period_end,value
18 - 29 years,5/5/20,46.8
30 - 39 years,5/5/20,39.6
40 - 49 years,5/5/20,38.9
50 - 59 years,5/5/20,35.8
60 - 69 years,5/5/20,28.9
70 - 79 years,5/5/20,21.5
80 years and above,5/5/20,21.1
18 - 29 years,5/12/20,47.4
30 - 39 years,5/12/20,39.3
40 - 49 years,5/12/20,36.9
50 - 59 years,5/12/20,35.5
60 - 69 years,5/12/20,25.5
70 - 79 years,5/12/20,19.8
80 years and above,5/12/20,13.9
18 - 29 years,5/19/20,47.7
30 - 39 years,5/19/20,37.8
40 - 49 years,5/19/20,35.3
50 - 59 years,5/19/20,33.7
60 - 69 years,5/19/20,26.4
70 - 79 years,5/19/20,18.3
80 years and above,5/19/20,17.1
18 - 29 years,5/26/20,46.6
30 - 39 years,5/26/20,39.5
40 - 49 years,5/26/20,35.7
50 - 59 years,5/26/20,33.7
60 - 69 years,5/26/20,27.4
70 - 79 years,5/26/20,18.8
80 years and above,5/26/20,20.1
18 - 29 years,6/2/20,49.3
30 - 39 years,6/2/20,40.6
40 - 49 years,6/2/20,36.9
50 - 59 years,6/2/20,33.6
60 - 69 years,6/2/20,27
70 - 79 years,6/2/20,21.7
80 years and above,6/2/20,19.2
18 - 29 years,6/9/20,49.3
30 - 39 years,6/9/20,41.5
40 - 49 years,6/9/20,39
50 - 59 years,6/9/20,36
60 - 69 years,6/9/20,27.4
70 - 79 years,6/9/20,19
80 years and above,6/9/20,18.6
18 - 29 years,6/16/20,48.7
30 - 39 years,6/16/20,40.3
40 - 49 years,6/16/20,38.4
50 - 59 years,6/16/20,35.8
60 - 69 years,6/16/20,27.7
70 - 79 years,6/16/20,21.7
80 years and above,6/16/20,17.6
18 - 29 years,6/23/20,50
30 - 39 years,6/23/20,40.8
40 - 49 years,6/23/20,38.5
50 - 59 years,6/23/20,36.3
60 - 69 years,6/23/20,27.4
70 - 79 years,6/23/20,19.3
80 years and above,6/23/20,14.6
18 - 29 years,6/30/20,49.4
30 - 39 years,6/30/20,44.1
40 - 49 years,6/30/20,39.7
50 - 59 years,6/30/20,37.4
60 - 69 years,6/30/20,29.1
70 - 79 years,6/30/20,23.4
80 years and above,6/30/20,20.5
18 - 29 years,7/7/20,50.4
30 - 39 years,7/7/20,45.9
40 - 49 years,7/7/20,40
50 - 59 years,7/7/20,38.3
60 - 69 years,7/7/20,30.8
70 - 79 years,7/7/20,24.5
80 years and above,7/7/20,25.6
18 - 29 years,7/14/20,55
30 - 39 years,7/14/20,46.8
40 - 49 years,7/14/20,41.6
50 - 59 years,7/14/20,39.8
60 - 69 years,7/14/20,31.8
70 - 79 years,7/14/20,21.4
80 years and above,7/14/20,18.9
18 - 29 years,7/21/20,53.4
30 - 39 years,7/21/20,47.1
40 - 49 years,7/21/20,44.5
50 - 59 years,7/21/20,40
60 - 69 years,7/21/20,32.1
70 - 79 years,7/21/20,24.3
80 years and above,7/21/20,17.5
18 - 29 years,8/31/20,49
30 - 39 years,8/31/20,42.5
40 - 49 years,8/31/20,37.6
50 - 59 years,8/31/20,34.9
60 - 69 years,8/31/20,29.3
70 - 79 years,8/31/20,23.2
80 years and above,8/31/20,19.4
18 - 29 years,9/14/20,47.3
30 - 39 years,9/14/20,41.8
40 - 49 years,9/14/20,38.2
50 - 59 years,9/14/20,35
60 - 69 years,9/14/20,29.3
70 - 79 years,9/14/20,23.1
80 years and above,9/14/20,22.3
18 - 29 years,9/28/20,49.9
30 - 39 years,9/28/20,43
40 - 49 years,9/28/20,39
50 - 59 years,9/28/20,35.6
60 - 69 years,9/28/20,30.7
70 - 79 years,9/28/20,23.5
80 years and above,9/28/20,19.1
18 - 29 years,10/12/20,52.8
30 - 39 years,10/12/20,43.2
40 - 49 years,10/12/20,39.9
50 - 59 years,10/12/20,34.8
60 - 69 years,10/12/20,29.5
70 - 79 years,10/12/20,22.8
80 years and above,10/12/20,17.9
18 - 29 years,10/26/20,52.1
30 - 39 years,10/26/20,44.9
40 - 49 years,10/26/20,39.7
50 - 59 years,10/26/20,34.8
60 - 69 years,10/26/20,30.7
70 - 79 years,10/26/20,23.1
80 years and above,10/26/20,19.3
18 - 29 years,11/9/20,58.7
30 - 39 years,11/9/20,49.5
40 - 49 years,11/9/20,42.6
50 - 59 years,11/9/20,38.6
60 - 69 years,11/9/20,32.9
70 - 79 years,11/9/20,26.6
80 years and above,11/9/20,18.4
18 - 29 years,11/23/20,58.1
30 - 39 years,11/23/20,48.4
40 - 49 years,11/23/20,45.6
50 - 59 years,11/23/20,40.2
60 - 69 years,11/23/20,34.2
70 - 79 years,11/23/20,28.6
80 years and above,11/23/20,24.1
18 - 29 years,12/7/20,56.5
30 - 39 years,12/7/20,47.6
40 - 49 years,12/7/20,45.3
50 - 59 years,12/7/20,40
60 - 69 years,12/7/20,32.3
70 - 79 years,12/7/20,26.4
80 years and above,12/7/20,19.4
18 - 29 years,12/21/20,56.2
30 - 39 years,12/21/20,49.1
40 - 49 years,12/21/20,45.1
50 - 59 years,12/21/20,41.1
60 - 69 years,12/21/20,33.6
70 - 79 years,12/21/20,27.1
80 years and above,12/21/20,28.3
18 - 29 years,1/18/21,53.5
30 - 39 years,1/18/21,45.8
40 - 49 years,1/18/21,43.9
50 - 59 years,1/18/21,40.6
60 - 69 years,1/18/21,34.1
70 - 79 years,1/18/21,27.9
80 years and above,1/18/21,27.3
18 - 29 years,2/1/21,56.9
30 - 39 years,2/1/21,47.2
40 - 49 years,2/1/21,41.7
50 - 59 years,2/1/21,41.3
60 - 69 years,2/1/21,34.2
70 - 79 years,2/1/21,26.8
80 years and above,2/1/21,22.6
18 - 29 years,2/15/21,56.3
30 - 39 years,2/15/21,44.3
40 - 49 years,2/15/21,40.7
50 - 59 years,2/15/21,36.9
60 - 69 years,2/15/21,32.6
70 - 79 years,2/15/21,24.7
80 years and above,2/15/21,23.3
18 - 29 years,3/1/21,56.1
30 - 39 years,3/1/21,45
40 - 49 years,3/1/21,39.8
50 - 59 years,3/1/21,37.2
60 - 69 years,3/1/21,30.4
70 - 79 years,3/1/21,24.3
80 years and above,3/1/21,22.4
18 - 29 years,3/15/21,53.1
30 - 39 years,3/15/21,44.1
40 - 49 years,3/15/21,37.8
50 - 59 years,3/15/21,34.7
60 - 69 years,3/15/21,28
70 - 79 years,3/15/21,21.7
80 years and above,3/15/21,23.5
18 - 29 years,3/29/21,50.7
30 - 39 years,3/29/21,41.6
40 - 49 years,3/29/21,37.9
50 - 59 years,3/29/21,31.6
60 - 69 years,3/29/21,27
70 - 79 years,3/29/21,20.9
80 years and above,3/29/21,22.5
18 - 29 years,4/26/21,52.9
30 - 39 years,4/26/21,38.4
40 - 49 years,4/26/21,34.9
50 - 59 years,4/26/21,28.8
60 - 69 years,4/26/21,22.9
70 - 79 years,4/26/21,17.9
80 years and above,4/26/21,17.9
18 - 29 years,5/10/21,49.2
30 - 39 years,5/10/21,36.5
40 - 49 years,5/10/21,31.4
50 - 59 years,5/10/21,29.6
60 - 69 years,5/10/21,22.5
