group,period_end,value
18 - 29 years,5/5/20,32.7
30 - 39 years,5/5/20,25.7
40 - 49 years,5/5/20,24.8
50 - 59 years,5/5/20,23.2
60 - 69 years,5/5/20,18.4
70 - 79 years,5/5/20,13.6
80 years and above,5/5/20,14.4
18 - 29 years,5/12/20,36.2
30 - 39 years,5/12/20,27.7
40 - 49 years,5/12/20,25.5
50 - 59 years,5/12/20,24.1
60 - 69 years,5/12/20,17.6
70 - 79 years,5/12/20,12.2
80 years and above,5/12/20,9.1
18 - 29 years,5/19/20,36.7
30 - 39 years,5/19/20,26.7
40 - 49 years,5/19/20,25
50 - 59 years,5/19/20,24.6
60 - 69 years,5/19/20,18
70 - 79 years,5/19/20,12.3
80 years and above,5/19/20,14.4
18 - 29 years,5/26/20,36.7
30 - 39 years,5/26/20,27.4
40 - 49 years,5/26/20,24.2
50 - 59 years,5/26/20,24.6
60 - 69 years,5/26/20,19.8
70 - 79 years,5/26/20,13.3
80 years and above,5/26/20,17.1
18 - 29 years,6/2/20,36.8
30 - 39 years,6/2/20,27.9
40 - 49 years,6/2/20,25.7
50 - 59 years,6/2/20,25.1
60 - 69 years,6/2/20,18
70 - 79 years,6/2/20,15.5
80 years and above,6/2/20,14.9
18 - 29 years,6/9/20,37
30 - 39 years,6/9/20,29.1
40 - 49 years,6/9/20,27
50 - 59 years,6/9/20,26
60 - 69 years,6/9/20,19.8
70 - 79 years,6/9/20,13.1
80 years and above,6/9/20,12.3
18 - 29 years,6/16/20,36.8
30 - 39 years,6/16/20,26.7
40 - 49 years,6/16/20,25.9
50 - 59 years,6/16/20,24.6
60 - 69 years,6/16/20,19.6
70 - 79 years,6/16/20,15.5
80 years and above,6/16/20,9.9
18 - 29 years,6/23/20,36.7
30 - 39 years,6/23/20,28.3
40 - 49 years,6/23/20,26.2
50 - 59 years,6/23/20,26
60 - 69 years,6/23/20,19.3
70 - 79 years,6/23/20,14.5
80 years and above,6/23/20,10.8
18 - 29 years,6/30/20,36.6
30 - 39 years,6/30/20,30.7
40 - 49 years,6/30/20,27.7
50 - 59 years,6/30/20,27.1
60 - 69 years,6/30/20,20.5
70 - 79 years,6/30/20,16.1
80 years and above,6/30/20,15.2
18 - 29 years,7/7/20,35.8
30 - 39 years,7/7/20,31.7
40 - 49 years,7/7/20,27.6
50 - 59 years,7/7/20,28.2
60 - 69 years,7/7/20,21.8
70 - 79 years,7/7/20,17.8
80 years and above,7/7/20,18.7
